"family","target","index","x","y","mean_truth","oracle_lower","oracle_upper","fit_lower","fit_upper","fit_midpoint","fit_width","fit_lower_q025","fit_lower_q975","fit_upper_q025","fit_upper_q975","fit_midpoint_q025","fit_midpoint_q975","fit_width_q025","fit_width_q975","observed"
"fixed_design","RQR",1,-1,-0.174752855241139,-0.35,-1.61922215069661,0.0797497942369733,-2.02986356560686,0.147825962320979,-0.941018801642941,2.17768952792784,-3.54171245272044,-0.820356192877275,-0.143552266643497,0.632628871087137,-1.72451142740374,-0.284695298971982,0.880892745733928,3.68991912942828,TRUE
"fixed_design","RQR",2,-0.999166319299708,-0.247680311268216,-0.344692452211124,-1.6147554009563,0.0853420303983052,-2.02093614292915,0.153322336274458,-0.933806903327345,2.17425847920361,-3.5187236431917,-0.823137567864814,-0.134777663683664,0.633331617707304,-1.70961684662618,-0.284973575779935,0.889160355989127,3.6738374717545,TRUE
"fixed_design","RQR",3,-0.998332638599416,-0.1223459766952,-0.339399234755364,-1.61031383069348,0.0909236096713623,-2.01205553582387,0.158808163469643,-0.926623686177111,2.17086369929351,-3.49499700462539,-0.826059499563831,-0.125989596137733,0.634755521190212,-1.69714379334011,-0.284078312023699,0.898410037789561,3.65653383489671,TRUE
"fixed_design","RQR",4,-0.997498957899125,-0.111292011420406,-0.334120343105941,-1.60589740287401,0.0964945255761554,-2.0032216470684,0.164283432291616,-0.919469107388391,2.16750507936001,-3.47235809513201,-0.829723169626216,-0.11739164765092,0.636614517032442,-1.68448068356339,-0.283356505053241,0.908053424374997,3.63939185126505,TRUE
"fixed_design","RQR",5,-0.996665277198833,-0.158632106189999,-0.328855772736075,-1.60150608046373,0.102054771632696,-1.99443438430559,0.169748135990882,-0.912343124157353,2.16418252029647,-3.4486704688833,-0.832763821782292,-0.108931581172583,0.637664483447395,-1.67098757247715,-0.282679417650962,0.919476598350123,3.62264515929625,TRUE
"fixed_design","RQR",6,-0.995831596498541,-0.450105918434816,-0.323605519118989,-1.5971398264285,0.107604341360993,-1.98569423326302,0.175202845902728,-0.905245693680146,2.16089707916575,-3.42715338859128,-0.836147093871118,-0.100723824023216,0.639142561878892,-1.65698355247151,-0.281908451519669,0.929061179868119,3.60644997690068,TRUE
"fixed_design","RQR",7,-0.994997915798249,-0.244697362229762,-0.318369577727904,-1.59279860373418,0.113143228281058,-1.97700219509213,0.180648648786262,-0.898176773152932,2.15765084387839,-3.40546036192912,-0.839992255961089,-0.0923074545186894,0.639870759194781,-1.64270300908564,-0.281762091199721,0.93835401550131,3.59216145182867,TRUE
"fixed_design","RQR",8,-0.994164235097957,-0.623685270735605,-0.313147944036041,-1.58848237534663,0.118671425912902,-1.96835668973932,0.186084050195582,-0.89113631977187,2.15444073993491,-3.38456967329855,-0.843339582419629,-0.083729544070531,0.64087480909522,-1.62957708378191,-0.281203507479729,0.946652267687483,3.57627297822277,TRUE
"fixed_design","RQR",9,-0.993330554397666,-0.0233491897525852,-0.30794061351662,-1.58419110423169,0.124188927776536,-1.95975742951042,0.19150884804419,-0.884124290733117,2.15126627755461,-3.36503601514891,-0.845585397740345,-0.0754694411244041,0.641983771146185,-1.61618351500602,-0.280251297561149,0.956261139461031,3.56222589375592,TRUE
"fixed_design","RQR",10,-0.992496873697374,-0.023732652230136,-0.302747581642864,-1.57992475335523,0.12969572739197,-1.951204322075,0.196923035609336,-0.87714064323283,2.14812735768433,-3.34447975761452,-0.848071596171083,-0.0672428086621397,0.644026178056088,-1.60399387100522,-0.27967428087092,0.965092693053417,3.54764824138972,TRUE
