"root","draw","maximum_mean_absolute_error","maximum_covariance_absolute_error","R_repair_count","cpp_repair_count"
"root1",0,7.57172102794357e-14,5.91193760612896e-14,0,0
"root2",0,1.49880108324396e-14,4.16333634234434e-14,0,0
"root1",0,1.75415237890775e-14,8.44324610227432e-14,0,0
"root2",0,3.33066907387547e-15,3.77475828372553e-15,0,0
"root1",0,2.22044604925031e-14,2.07611705604904e-14,0,0
"root2",0,1.50990331349021e-14,3.61932706027801e-14,0,0
"root1",0,9.54791801177635e-15,8.96505092384814e-15,0,0
"root2",0,4.21884749357559e-15,3.15858450505857e-14,0,0
"root1",0,7.32747196252603e-15,5.44009282066327e-14,0,0
"root2",0,6.43929354282591e-15,6.27276008913213e-15,0,0
"root1",0,1.4210854715202e-14,3.68594044175552e-14,0,0
"root2",0,1.02140518265514e-14,8.82627304576999e-15,0,0
"root1",0,8.43769498715119e-15,2.76445533131664e-14,0,0
"root2",0,7.66053886991358e-15,7.60502771868232e-15,0,0
"root1",0,6.43929354282591e-15,2.03170813506404e-14,0,0
"root2",0,1.73194791841524e-14,2.4980018054066e-14,0,0
"root1",0,1.0325074129014e-14,1.13242748511766e-14,0,0
"root2",0,5.32907051820075e-15,2.70339306496226e-14,0,0
"root1",0,1.3988810110277e-14,4.56301663120939e-14,0,0
"root2",0,9.99200722162641e-15,9.32587340685131e-15,0,0
"root1",0,1.88737914186277e-14,2.08721928629529e-14,0,0
"root2",0,4.21884749357559e-15,1.49880108324396e-14,0,0
"root1",0,1.85407245112401e-14,2.83106871279415e-14,0,0
"root2",0,5.77315972805081e-15,2.39808173319034e-14,0,0
"root1",0,4.21884749357559e-15,2.09277040141842e-14,0,0
"root2",0,1.08246744900953e-14,2.77555756156289e-14,0,0
"root1",0,9.76996261670138e-15,1.2490009027033e-14,0,0
"root2",0,2.55351295663786e-14,2.1316282072803e-14,0,0
"root1",0,5.10702591327572e-15,7.99360577730113e-15,0,0
"root2",0,4.66293670342566e-15,9.43689570931383e-15,0,0
