"target","lower_tail_probability","upper_tail_probability","rare_tail_probability","fixed_design_n","fixed_design_expected_rare_count","dlm_n_observed","dlm_expected_rare_count"
"RQR",0.0120825038692552,0.0379174961307448,0.0120825038692552,2400,28.9980092862125,1178,14.2331895579826
"ET",0.025,0.025,0.025,2400,60.0000000000001,1178,29.45
"SH",0.0399999991286914,0.0100000008713087,0.0100000008713087,2400,24.0000020911408,1178,11.7800010264016
