"family","n_index","n_observed","n_missing","dgp_seed","dgp_digest","target_digest"
"fixed_design",2400,2400,0,202608011,"65c1f8dbc6034028ad9f5fb86c7e6486770d4653c1d4cbb8b5b1f19feb9f5ee6","79b7e0c8c106dcca4dd8322938b44c80f7cc0ed2eeaffbdd71fc576b358ad688"
"dlm",1200,1178,22,202608012,"0080f129e651bc8228597f96ff077d4b6fca62a79dbf741b9c80e53605371e55","5e310b3765acbe996442cc71b16bd3e7f904768b113cc205fcf6cfd6a004ccad"
