"object","expected_digest","observed_digest","pass"
"base_config","585e7258451690c94a153fad50fc6a72a60137bca6447e1b851050b4ed8ca5d7","585e7258451690c94a153fad50fc6a72a60137bca6447e1b851050b4ed8ca5d7",TRUE
"dlm_dgp","0080f129e651bc8228597f96ff077d4b6fca62a79dbf741b9c80e53605371e55","0080f129e651bc8228597f96ff077d4b6fca62a79dbf741b9c80e53605371e55",TRUE
"population_targets","5e310b3765acbe996442cc71b16bd3e7f904768b113cc205fcf6cfd6a004ccad","5e310b3765acbe996442cc71b16bd3e7f904768b113cc205fcf6cfd6a004ccad",TRUE
