"target","endpoint","max_absolute_residual","root_mean_square_residual"
"RQR","lower",4.66293670342566e-15,4.5065574065902e-16
"RQR","upper",2.35922392732846e-15,2.82364246303709e-16
"ET","lower",3.99680288865056e-15,4.63997078349172e-16
"ET","upper",2.33146835171283e-15,2.90971824373069e-16
"SH","lower",2.88657986402541e-15,3.74038349602649e-16
"SH","upper",2.66453525910038e-15,4.49914370602758e-16
