"target","endpoint","innovation_quantile","max_absolute_residual","root_mean_square_residual"
"RQR","lower",-3.34005829130687,6.66133814775094e-16,2.1389208459471e-16
"RQR","upper",1.13092051114993,4.44089209850063e-16,1.02542359635939e-16
"ET","lower",-2.63465081847657,4.44089209850063e-16,1.54835318799466e-16
"ET","upper",1.23194552914683,4.44089209850063e-16,1.15982665450043e-16
"SH","lower",-2.17868034365507,4.44089209850063e-16,1.38268089526412e-16
"SH","upper",1.45417865338459,4.44089209850063e-16,1.39892873805519e-16
