"metric","baseline","adjudication","difference"
"retained_draws",30000,60000,30000
"endpoint_rmse_over_oracle_width",0.0779383595105945,0.0783958685065095,0.000457508995915026
"mean_width_ratio",1.01042611842033,1.01051400810701,8.78896866789436e-05
"width_contrast_relative_error",0.201038561749426,0.202622544829516,0.00158398308009014
"seasonal_width_amplitude_ratio",0.756929165587059,0.754676383496282,-0.00225278209077739
"seasonal_width_phase_error",0.222541107308781,0.224264893516451,0.0017237862076703
