"family","target","chain","seed","n_draws","numerical_repair_count","elapsed_seconds","root_swap_fraction","profile","exact_joint_target","target_numerical_eligible","reproducibility_eligible","promotion_eligible","primary_runtime_source_match","worker_entry_provenance_match","fit_recorded_provenance_match","worker_exit_provenance_match"
"fixed_design","RQR",1,202608111,6000,0,92.033,0.758666666666667,"moment_centered",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"fixed_design","RQR",2,202618111,6000,0,98.098,0.749866666666667,"moment_narrow",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"fixed_design","RQR",3,202628111,6000,0,97.9,0.752533333333333,"moment_wide",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"fixed_design","RQR",4,202638111,6000,0,93.633,0.745066666666667,"moment_shape_stress",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"fixed_design","ET",1,202608211,6000,0,104.48,0.746666666666667,"moment_centered",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"fixed_design","ET",2,202618211,6000,0,92.892,0.762266666666667,"moment_narrow",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"fixed_design","ET",3,202628211,6000,0,93.716,0.7468,"moment_wide",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"fixed_design","ET",4,202638211,6000,0,104.105,0.752533333333333,"moment_shape_stress",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"fixed_design","SH",1,202608311,6000,0,94.414,0.748133333333333,"moment_centered",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"fixed_design","SH",2,202618311,6000,0,94.21,0.746666666666667,"moment_narrow",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"fixed_design","SH",3,202628311,6000,0,94.502,0.746266666666667,"moment_wide",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"fixed_design","SH",4,202638311,6000,0,94.551,0.7548,"moment_shape_stress",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"dlm","RQR",1,202608112,6000,0,1708.633,0.498823529411765,"default",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"dlm","RQR",2,202618112,6000,0,1732.199,0.498941176470588,"oracle_centered",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"dlm","RQR",3,202628112,6000,0,1685.924,0.506235294117647,"narrow",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"dlm","RQR",4,202638112,6000,0,1694.347,0.498588235294118,"wide",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"dlm","RQR",5,202648112,6000,0,1674.498,0.497764705882353,"trend_seasonal_stress",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"dlm","ET",1,202608212,6000,0,1700.779,0.505529411764706,"default",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"dlm","ET",2,202618212,6000,0,1724.611,0.502941176470588,"oracle_centered",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"dlm","ET",3,202628212,6000,0,1720.458,0.504235294117647,"narrow",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"dlm","ET",4,202638212,6000,0,1653.816,0.494823529411765,"wide",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"dlm","ET",5,202648212,6000,0,1688.527,0.496588235294118,"trend_seasonal_stress",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"dlm","SH",1,202608312,12000,0,2736.18,0.498206896551724,"default",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"dlm","SH",2,202618312,12000,0,2826.883,0.496827586206897,"oracle_centered",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"dlm","SH",3,202628312,12000,0,2741.794,0.503931034482759,"narrow",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"dlm","SH",4,202638312,12000,0,2697.56,0.492758620689655,"wide",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"dlm","SH",5,202648312,12000,0,2857.853,0.501793103448276,"trend_seasonal_stress",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
