"root_path","artifact_class","path","bytes","sha256","promotion_status","disposition","recoverability"
"/data/muscat_data/jaguir26/.rqr_gibbs_worktrees/rqr_dlm_skewed_recovery_20260803/application/cache/rqr_dlm_skewed_candidates_20260803_5086fac","obsolete_heavy_RDS_chain_or_validation_evidence","/data/muscat_data/jaguir26/.rqr_gibbs_worktrees/rqr_dlm_skewed_recovery_20260803/application/cache/rqr_dlm_skewed_candidates_20260803_5086fac/job_results/whole_scan_x2__M01__S05_rep0186__one_chain_standard__chain01.rds",2101547,"28d4d2aa918e12396a0fb001dfd20a6060c6d1d07fe94112ba8770ec607ca121","terminal_or_superseded_not_promotable","deleted_after_sha256_capture","regenerate_from_committed_source_and_frozen_contract"
"/data/muscat_data/jaguir26/.rqr_gibbs_worktrees/rqr_dlm_skewed_recovery_20260803/application/cache/rqr_dlm_skewed_candidates_20260803_5086fac","obsolete_heavy_RDS_chain_or_validation_evidence","/data/muscat_data/jaguir26/.rqr_gibbs_worktrees/rqr_dlm_skewed_recovery_20260803/application/cache/rqr_dlm_skewed_candidates_20260803_5086fac/job_results/whole_scan_x2__M01__S05_rep0188__four_chain_sentinel__chain01.rds",2091048,"9e877172ba1cc49a4f545ddf648978506c695305d4a1b82f48a24d6184993b10","terminal_or_superseded_not_promotable","deleted_after_sha256_capture","regenerate_from_committed_source_and_frozen_contract"
"/data/muscat_data/jaguir26/.rqr_gibbs_worktrees/rqr_dlm_skewed_recovery_20260803/application/cache/rqr_dlm_skewed_candidates_20260803_5086fac","obsolete_heavy_RDS_chain_or_validation_evidence","/data/muscat_data/jaguir26/.rqr_gibbs_worktrees/rqr_dlm_skewed_recovery_20260803/application/cache/rqr_dlm_skewed_candidates_20260803_5086fac/job_results/whole_scan_x2__M01__S05_rep0188__four_chain_sentinel__chain02.rds",2090942,"dae3a4ff7bd9cbe40b4e9d407e29dbf944dec4d413aa88e4a3123f7103be57e1","terminal_or_superseded_not_promotable","deleted_after_sha256_capture","regenerate_from_committed_source_and_frozen_contract"
"/data/muscat_data/jaguir26/.rqr_gibbs_worktrees/rqr_dlm_skewed_recovery_20260803/application/cache/rqr_dlm_skewed_candidates_20260803_5086fac","obsolete_heavy_RDS_chain_or_validation_evidence","/data/muscat_data/jaguir26/.rqr_gibbs_worktrees/rqr_dlm_skewed_recovery_20260803/application/cache/rqr_dlm_skewed_candidates_20260803_5086fac/job_results/whole_scan_x2__M01__S05_rep0188__four_chain_sentinel__chain03.rds",2091359,"642455c22bd929a5a595e7fe1430fe090fe5b563490065bf6eda6b534f71a71d","terminal_or_superseded_not_promotable","deleted_after_sha256_capture","regenerate_from_committed_source_and_frozen_contract"
"/data/muscat_data/jaguir26/.rqr_gibbs_worktrees/rqr_dlm_skewed_recovery_20260803/application/cache/rqr_dlm_skewed_candidates_20260803_5086fac","obsolete_heavy_RDS_chain_or_validation_evidence","/data/muscat_data/jaguir26/.rqr_gibbs_worktrees/rqr_dlm_skewed_recovery_20260803/application/cache/rqr_dlm_skewed_candidates_20260803_5086fac/job_results/whole_scan_x2__M01__S05_rep0188__four_chain_sentinel__chain04.rds",2090724,"a00584f0b4f1aa3af225210ee2d80ca812d8d94495ce1e7d2d82fd83dc6de366","terminal_or_superseded_not_promotable","deleted_after_sha256_capture","regenerate_from_committed_source_and_frozen_contract"
"/data/muscat_data/jaguir26/.rqr_gibbs_worktrees/rqr_dlm_skewed_recovery_20260803/application/cache/rqr_dlm_skewed_candidates_20260803_5086fac","obsolete_heavy_RDS_chain_or_validation_evidence","/data/muscat_data/jaguir26/.rqr_gibbs_worktrees/rqr_dlm_skewed_recovery_20260803/application/cache/rqr_dlm_skewed_candidates_20260803_5086fac/job_results/whole_scan_x2__M02__S06_rep0041__four_chain_sentinel__chain01.rds",1348125,"a2a4d8d66c23ff6ffe582b2a761ab4b04ce8fc71bdf1fa62d7943b340d7bd86b","terminal_or_superseded_not_promotable","deleted_after_sha256_capture","regenerate_from_committed_source_and_frozen_contract"
"/data/muscat_data/jaguir26/.rqr_gibbs_worktrees/rqr_dlm_skewed_recovery_20260803/application/cache/rqr_dlm_skewed_candidates_20260803_5086fac","obsolete_heavy_RDS_chain_or_validation_evidence","/data/muscat_data/jaguir26/.rqr_gibbs_worktrees/rqr_dlm_skewed_recovery_20260803/application/cache/rqr_dlm_skewed_candidates_20260803_5086fac/job_results/whole_scan_x2__M02__S06_rep0041__four_chain_sentinel__chain02.rds",1348030,"3b899abbf75d8280323ca43a934dbf664b838494db7105578ae0f9ef619c38cc","terminal_or_superseded_not_promotable","deleted_after_sha256_capture","regenerate_from_committed_source_and_frozen_contract"
"/data/muscat_data/jaguir26/.rqr_gibbs_worktrees/rqr_dlm_skewed_recovery_20260803/application/cache/rqr_dlm_skewed_candidates_20260803_5086fac","obsolete_heavy_RDS_chain_or_validation_evidence","/data/muscat_data/jaguir26/.rqr_gibbs_worktrees/rqr_dlm_skewed_recovery_20260803/application/cache/rqr_dlm_skewed_candidates_20260803_5086fac/job_results/whole_scan_x2__M02__S06_rep0041__four_chain_sentinel__chain03.rds",1348574,"d7537e271c4d52571d5992334c15ea93f2129fc14c80748380a5132cf49b0c81","terminal_or_superseded_not_promotable","deleted_after_sha256_capture","regenerate_from_committed_source_and_frozen_contract"
"/data/muscat_data/jaguir26/.rqr_gibbs_worktrees/rqr_dlm_skewed_recovery_20260803/application/cache/rqr_dlm_skewed_candidates_20260803_5086fac","obsolete_heavy_RDS_chain_or_validation_evidence","/data/muscat_data/jaguir26/.rqr_gibbs_worktrees/rqr_dlm_skewed_recovery_20260803/application/cache/rqr_dlm_skewed_candidates_20260803_5086fac/job_results/whole_scan_x2__M02__S06_rep0041__four_chain_sentinel__chain04.rds",1347899,"5e2ae9cf1461cc86706d02d4e75f64a9017db144122b23ff6f014f86f1437b21","terminal_or_superseded_not_promotable","deleted_after_sha256_capture","regenerate_from_committed_source_and_frozen_contract"
"/data/muscat_data/jaguir26/.rqr_gibbs_worktrees/rqr_dlm_skewed_recovery_20260803/application/cache/rqr_dlm_skewed_candidates_20260803_5086fac","obsolete_heavy_RDS_chain_or_validation_evidence","/data/muscat_data/jaguir26/.rqr_gibbs_worktrees/rqr_dlm_skewed_recovery_20260803/application/cache/rqr_dlm_skewed_candidates_20260803_5086fac/job_results/whole_scan_x2__M02__S06_rep0194__one_chain_standard__chain01.rds",1353956,"164502d43335c4a6a93669660eac5be33551d262bbff286e6873754c65c5cef5","terminal_or_superseded_not_promotable","deleted_after_sha256_capture","regenerate_from_committed_source_and_frozen_contract"
