"DGP","replication","method","profile","variable1","variable2","correlation"
"S05",2,"M02","A","mean_midpoint","mean_width",0.277188092012854
"S05",2,"M02","A","mean_midpoint","observed_loss",-0.799611478035405
"S05",2,"M02","A","mean_width","observed_loss",0.0160862803076643
"S05",2,"M02","A","mean_midpoint","terminal_midpoint",0.505154878054008
"S05",2,"M02","A","mean_width","terminal_midpoint",0.112360496470522
"S05",2,"M02","A","observed_loss","terminal_midpoint",-0.408347755060005
"S05",2,"M02","A","mean_midpoint","terminal_width",0.0843086439711113
"S05",2,"M02","A","mean_width","terminal_width",0.512436200715273
"S05",2,"M02","A","observed_loss","terminal_width",-0.00897978953894252
"S05",2,"M02","A","terminal_midpoint","terminal_width",0.150357805543307
"S05",2,"M02","B","mean_midpoint","mean_width",0.301642843334903
"S05",2,"M02","B","mean_midpoint","observed_loss",-0.786205167456402
"S05",2,"M02","B","mean_width","observed_loss",-0.0486890784950406
"S05",2,"M02","B","mean_midpoint","terminal_midpoint",0.492851716816624
"S05",2,"M02","B","mean_width","terminal_midpoint",0.130860409882801
"S05",2,"M02","B","observed_loss","terminal_midpoint",-0.414816870773347
"S05",2,"M02","B","mean_midpoint","terminal_width",0.090177379570247
"S05",2,"M02","B","mean_width","terminal_width",0.485681265849203
"S05",2,"M02","B","observed_loss","terminal_width",-0.0631544096166346
"S05",2,"M02","B","terminal_midpoint","terminal_width",0.192595215686315
"S05",2,"M02","C","mean_midpoint","mean_width",0.339865457669507
"S05",2,"M02","C","mean_midpoint","observed_loss",-0.802581420380353
"S05",2,"M02","C","mean_width","observed_loss",-0.0883658425536164
"S05",2,"M02","C","mean_midpoint","terminal_midpoint",0.501010385880064
"S05",2,"M02","C","mean_width","terminal_midpoint",0.11930578371854
"S05",2,"M02","C","observed_loss","terminal_midpoint",-0.412234273959913
"S05",2,"M02","C","mean_midpoint","terminal_width",0.086156425401201
"S05",2,"M02","C","mean_width","terminal_width",0.470483554521246
"S05",2,"M02","C","observed_loss","terminal_width",-0.0253581891289024
"S05",2,"M02","C","terminal_midpoint","terminal_width",0.189798441267367
"S05",2,"M02","D","mean_midpoint","mean_width",0.323344006804617
"S05",2,"M02","D","mean_midpoint","observed_loss",-0.804714011907884
"S05",2,"M02","D","mean_width","observed_loss",-0.0645676611351077
"S05",2,"M02","D","mean_midpoint","terminal_midpoint",0.516654584568005
"S05",2,"M02","D","mean_width","terminal_midpoint",0.151841936920169
"S05",2,"M02","D","observed_loss","terminal_midpoint",-0.41407941126331
"S05",2,"M02","D","mean_midpoint","terminal_width",0.153712661678917
"S05",2,"M02","D","mean_width","terminal_width",0.513065502868582
"S05",2,"M02","D","observed_loss","terminal_width",-0.101595903903283
"S05",2,"M02","D","terminal_midpoint","terminal_width",0.215531149458044
"S05",81,"M06","A","mean_midpoint","mean_width",0.847110763619543
"S05",81,"M06","A","mean_midpoint","observed_loss",-0.225377952252317
"S05",81,"M06","A","mean_width","observed_loss",-0.0526275055262381
"S05",81,"M06","A","mean_midpoint","terminal_midpoint",0.54740383469105
"S05",81,"M06","A","mean_width","terminal_midpoint",0.509953738951914
"S05",81,"M06","A","observed_loss","terminal_midpoint",-0.0771844165128379
"S05",81,"M06","A","mean_midpoint","terminal_width",0.547388049324103
"S05",81,"M06","A","mean_width","terminal_width",0.547330570852479
"S05",81,"M06","A","observed_loss","terminal_width",-0.210762236008693
"S05",81,"M06","A","terminal_midpoint","terminal_width",0.802255814762783
"S05",81,"M06","B","mean_midpoint","mean_width",0.854344314070408
"S05",81,"M06","B","mean_midpoint","observed_loss",-0.280702260745795
"S05",81,"M06","B","mean_width","observed_loss",-0.123247635573386
"S05",81,"M06","B","mean_midpoint","terminal_midpoint",0.536009126787004
