"estimand","chains","rhat","ess_bulk","ess_tail","mcse_mean","mcse_over_sd","pass","DGP","replication","method","sentinel","source_file","wave_id","chain_role","bulk_threshold","tail_threshold","rhat_threshold","mcse_sd_threshold","bulk_fraction","tail_fraction"
"training_t0100_width",1,NA,136.195535260086,1113.95785796279,0.0679037339274516,0.0924800274687826,FALSE,"S05",172,"M11",FALSE,"waves/0003__local_level_skewed_T200__target0200__sentinel/workers/worker-01/fit_diagnostics.csv","local_level_skewed_T200__target0200__sentinel","one_chain_standard",200,100,NA,0.08,0.68097767630043,11.1395785796279
"log_q_1",1,NA,89.8651584466927,369.099474681465,0.0222591441150234,0.103702013736941,FALSE,"S05",172,"M11",FALSE,"waves/0003__local_level_skewed_T200__target0200__sentinel/workers/worker-01/fit_diagnostics.csv","local_level_skewed_T200__target0200__sentinel","one_chain_standard",200,100,NA,0.08,0.449325792233464,3.69099474681465
"mean_upper",1,NA,20.2392828477009,1027.0418970412,0.0415358701456877,0.221450702050195,FALSE,"S05",18,"M10",FALSE,"waves/0003__local_level_skewed_T200__target0200__sentinel/workers/worker-02/fit_diagnostics.csv","local_level_skewed_T200__target0200__sentinel","one_chain_standard",200,100,NA,0.08,0.101196414238504,10.270418970412
"mean_midpoint",1,NA,48.7971500939521,1470.71250087053,0.0150564574306514,0.143020302987826,FALSE,"S05",18,"M10",FALSE,"waves/0003__local_level_skewed_T200__target0200__sentinel/workers/worker-02/fit_diagnostics.csv","local_level_skewed_T200__target0200__sentinel","one_chain_standard",200,100,NA,0.08,0.24398575046976,14.7071250087053
"mean_width",1,NA,14.615527045763,619.23967584768,0.0493321578535415,0.259764507444076,FALSE,"S05",18,"M10",FALSE,"waves/0003__local_level_skewed_T200__target0200__sentinel/workers/worker-02/fit_diagnostics.csv","local_level_skewed_T200__target0200__sentinel","one_chain_standard",200,100,NA,0.08,0.073077635228815,6.1923967584768
"log_q_1",1,NA,11.7845147929233,433.808049802784,0.0662585339622552,0.292490355868097,FALSE,"S05",18,"M10",FALSE,"waves/0003__local_level_skewed_T200__target0200__sentinel/workers/worker-02/fit_diagnostics.csv","local_level_skewed_T200__target0200__sentinel","one_chain_standard",200,100,NA,0.08,0.0589225739646165,4.33808049802784
"mean_upper",1,NA,159.12486837114,223.339600761128,0.015041146717585,0.081667185628398,FALSE,"S06",194,"M02",FALSE,"waves/0003__local_level_skewed_T200__target0200__sentinel/workers/worker-02/fit_diagnostics.csv","local_level_skewed_T200__target0200__sentinel","one_chain_standard",200,100,NA,0.08,0.7956243418557,2.23339600761128
"mean_midpoint",1,NA,159.616424713723,217.35917657972,0.00773763173349632,0.081671872538827,FALSE,"S06",194,"M02",FALSE,"waves/0003__local_level_skewed_T200__target0200__sentinel/workers/worker-02/fit_diagnostics.csv","local_level_skewed_T200__target0200__sentinel","one_chain_standard",200,100,NA,0.08,0.798082123568615,2.1735917657972
"mean_width",1,NA,167.439582411567,240.436008435052,0.0150220307344831,0.0791803471279383,FALSE,"S06",194,"M02",FALSE,"waves/0003__local_level_skewed_T200__target0200__sentinel/workers/worker-02/fit_diagnostics.csv","local_level_skewed_T200__target0200__sentinel","one_chain_standard",200,100,NA,0.08,0.837197912057835,2.40436008435052
"observed_loss",1,NA,184.751051826617,309.266008819024,0.516391635972854,0.0753042638803459,FALSE,"S06",194,"M02",FALSE,"waves/0003__local_level_skewed_T200__target0200__sentinel/workers/worker-02/fit_diagnostics.csv","local_level_skewed_T200__target0200__sentinel","one_chain_standard",200,100,NA,0.08,0.923755259133085,3.09266008819024
"training_t0150_upper",1,NA,175.166575360086,295.018505596414,0.0234737526975453,0.0775282931492691,FALSE,"S06",194,"M02",FALSE,"waves/0003__local_level_skewed_T200__target0200__sentinel/workers/worker-02/fit_diagnostics.csv","local_level_skewed_T200__target0200__sentinel","one_chain_standard",200,100,NA,0.08,0.87583287680043,2.95018505596414
"training_t0150_midpoint",1,NA,177.053784247815,319.273786484224,0.011705948963872,0.0770103996703225,FALSE,"S06",194,"M02",FALSE,"waves/0003__local_level_skewed_T200__target0200__sentinel/workers/worker-02/fit_diagnostics.csv","local_level_skewed_T200__target0200__sentinel","one_chain_standard",200,100,NA,0.08,0.885268921239075,3.19273786484224
"training_t0150_width",1,NA,180.01333756715,293.526714409225,0.0236069464463211,0.076465355011316,FALSE,"S06",194,"M02",FALSE,"waves/0003__local_level_skewed_T200__target0200__sentinel/workers/worker-02/fit_diagnostics.csv","local_level_skewed_T200__target0200__sentinel","one_chain_standard",200,100,NA,0.08,0.90006668783575,2.93526714409225
"log_q_1",1,NA,148.225549604712,429.864486698543,0.0408660186593122,0.080717670938439,FALSE,"S05",39,"M10",FALSE,"waves/0003__local_level_skewed_T200__target0200__sentinel/workers/worker-03/fit_diagnostics.csv","local_level_skewed_T200__target0200__sentinel","one_chain_standard",200,100,NA,0.08,0.74112774802356,4.29864486698543
"mean_upper",1,NA,180.530298002517,422.324731774379,0.0203787394258335,0.0744789155423527,FALSE,"S06",68,"M06",FALSE,"waves/0003__local_level_skewed_T200__target0200__sentinel/workers/worker-03/fit_diagnostics.csv","local_level_skewed_T200__target0200__sentinel","one_chain_standard",200,100,NA,0.08,0.902651490012585,4.22324731774379
"mean_midpoint",1,NA,183.506489138039,457.801526998876,0.0105821602445332,0.0738422879884642,FALSE,"S06",68,"M06",FALSE,"waves/0003__local_level_skewed_T200__target0200__sentinel/workers/worker-03/fit_diagnostics.csv","local_level_skewed_T200__target0200__sentinel","one_chain_standard",200,100,NA,0.08,0.917532445690195,4.57801526998876
"mean_width",1,NA,188.848719920132,461.485707685538,0.0199756754375589,0.072825248080032,FALSE,"S06",68,"M06",FALSE,"waves/0003__local_level_skewed_T200__target0200__sentinel/workers/worker-03/fit_diagnostics.csv","local_level_skewed_T200__target0200__sentinel","one_chain_standard",200,100,NA,0.08,0.94424359960066,4.61485707685538
"mean_lower",1,NA,69.2209508253482,282.051538321088,0.00737531633000405,0.117078183889522,FALSE,"S05",104,"M10",FALSE,"waves/0003__local_level_skewed_T200__target0200__sentinel/workers/worker-03/fit_diagnostics.csv","local_level_skewed_T200__target0200__sentinel","one_chain_standard",200,100,NA,0.08,0.346104754126741,2.82051538321088
"mean_upper",1,NA,6.31484784704043,34.4018842263965,0.0565452803133865,0.397099626243437,FALSE,"S05",104,"M10",FALSE,"waves/0003__local_level_skewed_T200__target0200__sentinel/workers/worker-03/fit_diagnostics.csv","local_level_skewed_T200__target0200__sentinel","one_chain_standard",200,100,NA,0.08,0.0315742392352022,0.344018842263965
"mean_midpoint",1,NA,12.3321939737122,364.166022824273,0.0218574428876636,0.284259820260858,FALSE,"S05",104,"M10",FALSE,"waves/0003__local_level_skewed_T200__target0200__sentinel/workers/worker-03/fit_diagnostics.csv","local_level_skewed_T200__target0200__sentinel","one_chain_standard",200,100,NA,0.08,0.061660969868561,3.64166022824273
"mean_width",1,NA,5.34283221494551,39.4335205741387,0.0686109088292277,0.435329247087606,FALSE,"S05",104,"M10",FALSE,"waves/0003__local_level_skewed_T200__target0200__sentinel/workers/worker-03/fit_diagnostics.csv","local_level_skewed_T200__target0200__sentinel","one_chain_standard",200,100,NA,0.08,0.0267141610747276,0.394335205741387
"observed_loss",1,NA,29.6810685802571,1916.90423978939,0.807525068674756,0.182253694607682,FALSE,"S05",104,"M10",FALSE,"waves/0003__local_level_skewed_T200__target0200__sentinel/workers/worker-03/fit_diagnostics.csv","local_level_skewed_T200__target0200__sentinel","one_chain_standard",200,100,NA,0.08,0.148405342901286,19.1690423978939
"training_t0100_upper",1,NA,51.3321551505647,601.142374850367,0.0767026830504659,0.134770700206741,FALSE,"S05",104,"M10",FALSE,"waves/0003__local_level_skewed_T200__target0200__sentinel/workers/worker-03/fit_diagnostics.csv","local_level_skewed_T200__target0200__sentinel","one_chain_standard",200,100,NA,0.08,0.256660775752824,6.01142374850367
"training_t0100_width",1,NA,60.7901754725536,354.221121856628,0.0872569658376969,0.126383289585154,FALSE,"S05",104,"M10",FALSE,"waves/0003__local_level_skewed_T200__target0200__sentinel/workers/worker-03/fit_diagnostics.csv","local_level_skewed_T200__target0200__sentinel","one_chain_standard",200,100,NA,0.08,0.303950877362768,3.54221121856628
"log_q_1",1,NA,5.43764696774454,41.4644173693216,0.121399161156801,0.430783582307289,FALSE,"S05",104,"M10",FALSE,"waves/0003__local_level_skewed_T200__target0200__sentinel/workers/worker-03/fit_diagnostics.csv","local_level_skewed_T200__target0200__sentinel","one_chain_standard",200,100,NA,0.08,0.0271882348387227,0.414644173693216
"mean_upper",1,NA,157.731402714985,292.317781160388,0.0272408464052193,0.0797517250533045,FALSE,"S06",196,"M06",FALSE,"waves/0003__local_level_skewed_T200__target0200__sentinel/workers/worker-03/fit_diagnostics.csv","local_level_skewed_T200__target0200__sentinel","one_chain_standard",200,100,NA,0.08,0.788657013574925,2.92317781160388
"mean_midpoint",1,NA,165.86422311186,289.200616828163,0.0139727270669095,0.0780163250711109,FALSE,"S06",196,"M06",FALSE,"waves/0003__local_level_skewed_T200__target0200__sentinel/workers/worker-03/fit_diagnostics.csv","local_level_skewed_T200__target0200__sentinel","one_chain_standard",200,100,NA,0.08,0.8293211155593,2.89200616828163
"mean_width",1,NA,158.733421866968,339.029786250854,0.0266539778045055,0.0793024330172562,FALSE,"S06",196,"M06",FALSE,"waves/0003__local_level_skewed_T200__target0200__sentinel/workers/worker-03/fit_diagnostics.csv","local_level_skewed_T200__target0200__sentinel","one_chain_standard",200,100,NA,0.08,0.79366710933484,3.39029786250854
"training_t0050_upper",1,NA,180.66495966717,288.286841123303,0.0385998632930073,0.076310826082986,FALSE,"S06",196,"M06",FALSE,"waves/0003__local_level_skewed_T200__target0200__sentinel/workers/worker-03/fit_diagnostics.csv","local_level_skewed_T200__target0200__sentinel","one_chain_standard",200,100,NA,0.08,0.90332479833585,2.88286841123303
"training_t0050_midpoint",1,NA,194.083318842908,289.469570992553,0.0196826152409424,0.0732346923394781,FALSE,"S06",196,"M06",FALSE,"waves/0003__local_level_skewed_T200__target0200__sentinel/workers/worker-03/fit_diagnostics.csv","local_level_skewed_T200__target0200__sentinel","one_chain_standard",200,100,NA,0.08,0.97041659421454,2.89469570992553
"training_t0050_width",1,NA,195.337418795641,374.135493409533,0.0380919799090711,0.0731769059499552,FALSE,"S06",196,"M06",FALSE,"waves/0003__local_level_skewed_T200__target0200__sentinel/workers/worker-03/fit_diagnostics.csv","local_level_skewed_T200__target0200__sentinel","one_chain_standard",200,100,NA,0.08,0.976687093978205,3.74135493409533
"training_t0100_upper",1,NA,187.104276724997,320.788651130936,0.0290011766503124,0.0738386034095207,FALSE,"S06",196,"M06",FALSE,"waves/0003__local_level_skewed_T200__target0200__sentinel/workers/worker-03/fit_diagnostics.csv","local_level_skewed_T200__target0200__sentinel","one_chain_standard",200,100,NA,0.08,0.935521383624985,3.20788651130936
"mean_upper",1,NA,136.41063127472,634.52890617599,0.0263193696842628,0.0871891467541951,FALSE,"S05",113,"M10",FALSE,"waves/0003__local_level_skewed_T200__target0200__sentinel/workers/worker-04/fit_diagnostics.csv","local_level_skewed_T200__target0200__sentinel","one_chain_standard",200,100,NA,0.08,0.6820531563736,6.3452890617599
"mean_midpoint",1,NA,154.475955508748,578.152256930054,0.013335951169896,0.0809258218642649,FALSE,"S05",113,"M10",FALSE,"waves/0003__local_level_skewed_T200__target0200__sentinel/workers/worker-04/fit_diagnostics.csv","local_level_skewed_T200__target0200__sentinel","one_chain_standard",200,100,NA,0.08,0.77237977754374,5.78152256930054
"mean_width",1,NA,130.172811239537,584.373620139053,0.0258624734439325,0.0900208315853959,FALSE,"S05",113,"M10",FALSE,"waves/0003__local_level_skewed_T200__target0200__sentinel/workers/worker-04/fit_diagnostics.csv","local_level_skewed_T200__target0200__sentinel","one_chain_standard",200,100,NA,0.08,0.650864056197685,5.84373620139053
"log_q_1",1,NA,128.473550902235,628.550468536513,0.0252781004170528,0.0891334388552715,FALSE,"S05",113,"M10",FALSE,"waves/0003__local_level_skewed_T200__target0200__sentinel/workers/worker-04/fit_diagnostics.csv","local_level_skewed_T200__target0200__sentinel","one_chain_standard",200,100,NA,0.08,0.642367754511175,6.28550468536513
"log_q_1",1,NA,196.618001803307,398.348751122266,0.0461904112707449,0.0712740502339741,FALSE,"S05",186,"M01",FALSE,"waves/0003__local_level_skewed_T200__target0200__sentinel/workers/worker-04/fit_diagnostics.csv","local_level_skewed_T200__target0200__sentinel","one_chain_standard",200,100,NA,0.08,0.983090009016535,3.98348751122266
"mean_upper",1,NA,189.293002078795,418.043496487351,0.0179989337438589,0.0723153853143593,FALSE,"S05",186,"M06",FALSE,"waves/0003__local_level_skewed_T200__target0200__sentinel/workers/worker-04/fit_diagnostics.csv","local_level_skewed_T200__target0200__sentinel","one_chain_standard",200,100,NA,0.08,0.946465010393975,4.18043496487351
"mean_width",1,NA,186.730895736375,463.126051029304,0.0183311052465147,0.0729550789667856,FALSE,"S05",186,"M06",FALSE,"waves/0003__local_level_skewed_T200__target0200__sentinel/workers/worker-04/fit_diagnostics.csv","local_level_skewed_T200__target0200__sentinel","one_chain_standard",200,100,NA,0.08,0.933654478681875,4.63126051029304
"mean_upper",1,NA,184.834240462169,664.96957521849,0.00513466151550221,0.077133699965998,FALSE,"S05",51,"M11",FALSE,"waves/0003__local_level_skewed_T200__target0200__sentinel/workers/worker-05/fit_diagnostics.csv","local_level_skewed_T200__target0200__sentinel","one_chain_standard",200,100,NA,0.08,0.924171202310845,6.6496957521849
"mean_width",1,NA,120.575883334435,553.150814555398,0.00732151369998724,0.092674013739156,FALSE,"S05",51,"M11",FALSE,"waves/0003__local_level_skewed_T200__target0200__sentinel/workers/worker-05/fit_diagnostics.csv","local_level_skewed_T200__target0200__sentinel","one_chain_standard",200,100,NA,0.08,0.602879416672175,5.53150814555398
"log_q_1",1,NA,95.8810094519333,590.142793624791,0.019950409125606,0.102620707906961,FALSE,"S05",51,"M11",FALSE,"waves/0003__local_level_skewed_T200__target0200__sentinel/workers/worker-05/fit_diagnostics.csv","local_level_skewed_T200__target0200__sentinel","one_chain_standard",200,100,NA,0.08,0.479405047259666,5.90142793624791
"mean_upper",1,NA,195.977584859696,376.223823907414,0.0176511039425358,0.0731055801323672,FALSE,"S06",99,"M06",FALSE,"waves/0003__local_level_skewed_T200__target0200__sentinel/workers/worker-05/fit_diagnostics.csv","local_level_skewed_T200__target0200__sentinel","one_chain_standard",200,100,NA,0.08,0.97988792429848,3.76223823907414
"mean_upper",1,NA,175.460295555024,645.688053427458,0.0100698739474208,0.0754785948077221,FALSE,"S05",122,"M10",FALSE,"waves/0003__local_level_skewed_T200__target0200__sentinel/workers/worker-05/fit_diagnostics.csv","local_level_skewed_T200__target0200__sentinel","one_chain_standard",200,100,NA,0.08,0.87730147777512,6.45688053427458
"mean_width",1,NA,124.487892434636,430.882536467071,0.0134621747803796,0.0909430293648102,FALSE,"S05",122,"M10",FALSE,"waves/0003__local_level_skewed_T200__target0200__sentinel/workers/worker-05/fit_diagnostics.csv","local_level_skewed_T200__target0200__sentinel","one_chain_standard",200,100,NA,0.08,0.62243946217318,4.30882536467071
"log_q_1",1,NA,91.8808144813737,840.716880270259,0.0336791144937531,0.101824329649129,FALSE,"S05",122,"M10",FALSE,"waves/0003__local_level_skewed_T200__target0200__sentinel/workers/worker-05/fit_diagnostics.csv","local_level_skewed_T200__target0200__sentinel","one_chain_standard",200,100,NA,0.08,0.459404072406869,8.40716880270259
"mean_upper",1,NA,188.034610409319,305.053417200287,0.0167175697401325,0.0739079709103172,FALSE,"S05",58,"M06",FALSE,"waves/0003__local_level_skewed_T200__target0200__sentinel/workers/worker-06/fit_diagnostics.csv","local_level_skewed_T200__target0200__sentinel","one_chain_standard",200,100,NA,0.08,0.940173052046595,3.05053417200287
"mean_width",1,NA,185.442940061561,330.212295415678,0.0170445292790154,0.0744333826320668,FALSE,"S05",58,"M06",FALSE,"waves/0003__local_level_skewed_T200__target0200__sentinel/workers/worker-06/fit_diagnostics.csv","local_level_skewed_T200__target0200__sentinel","one_chain_standard",200,100,NA,0.08,0.927214700307805,3.30212295415678
"mean_upper",1,NA,137.165087891199,739.325045772154,0.0163083971651181,0.0860847514158841,FALSE,"S05",58,"M10",FALSE,"waves/0003__local_level_skewed_T200__target0200__sentinel/workers/worker-06/fit_diagnostics.csv","local_level_skewed_T200__target0200__sentinel","one_chain_standard",200,100,NA,0.08,0.685825439455995,7.39325045772154
"mean_width",1,NA,110.948453769802,699.864382711117,0.018380162680242,0.095754694076053,FALSE,"S05",58,"M10",FALSE,"waves/0003__local_level_skewed_T200__target0200__sentinel/workers/worker-06/fit_diagnostics.csv","local_level_skewed_T200__target0200__sentinel","one_chain_standard",200,100,NA,0.08,0.55474226884901,6.99864382711117
"training_t0150_upper",1,NA,194.709307605542,723.047779649312,0.0341404389723198,0.0690977957444223,FALSE,"S05",58,"M10",FALSE,"waves/0003__local_level_skewed_T200__target0200__sentinel/workers/worker-06/fit_diagnostics.csv","local_level_skewed_T200__target0200__sentinel","one_chain_standard",200,100,NA,0.08,0.97354653802771,7.23047779649312
"training_t0150_width",1,NA,116.724360907204,69.9636417442476,0.0617198902727999,0.0983032154182512,FALSE,"S05",58,"M10",FALSE,"waves/0003__local_level_skewed_T200__target0200__sentinel/workers/worker-06/fit_diagnostics.csv","local_level_skewed_T200__target0200__sentinel","one_chain_standard",200,100,NA,0.08,0.58362180453602,0.699636417442476
"log_q_1",1,NA,106.543549466144,644.052295963553,0.0301369883108428,0.0968527904618798,FALSE,"S05",58,"M10",FALSE,"waves/0003__local_level_skewed_T200__target0200__sentinel/workers/worker-06/fit_diagnostics.csv","local_level_skewed_T200__target0200__sentinel","one_chain_standard",200,100,NA,0.08,0.53271774733072,6.44052295963553
"mean_upper",4,1.02688695999717,34.3510343553487,137.487119205829,0.0177526096910583,0.168152906995186,FALSE,"S05",74,"M11",TRUE,"waves/0003__local_level_skewed_T200__target0200__sentinel/workers/worker-07/fit_diagnostics.csv","local_level_skewed_T200__target0200__sentinel","four_chain_sentinel",400,400,1.01,NA,0.0858775858883718,0.343717798014573
"mean_midpoint",4,1.01957301674787,56.0734625581463,259.444142623897,0.00731586601813089,0.132028586137583,FALSE,"S05",74,"M11",TRUE,"waves/0003__local_level_skewed_T200__target0200__sentinel/workers/worker-07/fit_diagnostics.csv","local_level_skewed_T200__target0200__sentinel","four_chain_sentinel",400,400,1.01,NA,0.140183656395366,0.648610356559743
"mean_width",4,1.02899643073196,30.8188003118972,122.644396943016,0.0199211308736127,0.178740023769745,FALSE,"S05",74,"M11",TRUE,"waves/0003__local_level_skewed_T200__target0200__sentinel/workers/worker-07/fit_diagnostics.csv","local_level_skewed_T200__target0200__sentinel","four_chain_sentinel",400,400,1.01,NA,0.077047000779743,0.30661099235754
"observed_loss",4,1.01334537485162,144.768423334916,1655.62512341504,0.194041143098756,0.0799310965994235,FALSE,"S05",74,"M11",TRUE,"waves/0003__local_level_skewed_T200__target0200__sentinel/workers/worker-07/fit_diagnostics.csv","local_level_skewed_T200__target0200__sentinel","four_chain_sentinel",400,400,1.01,NA,0.36192105833729,4.1390628085376
"log_q_1",4,1.02538615197829,34.4871178028219,128.703370053918,0.0391662146420192,0.169250009428515,FALSE,"S05",74,"M11",TRUE,"waves/0003__local_level_skewed_T200__target0200__sentinel/workers/worker-07/fit_diagnostics.csv","local_level_skewed_T200__target0200__sentinel","four_chain_sentinel",400,400,1.01,NA,0.0862177945070547,0.321758425134795
"log_q_1",1,NA,170.364114803135,246.634516822341,0.0473630904935567,0.078332763734348,FALSE,"S05",77,"M09",FALSE,"waves/0003__local_level_skewed_T200__target0200__sentinel/workers/worker-08/fit_diagnostics.csv","local_level_skewed_T200__target0200__sentinel","one_chain_standard",200,100,NA,0.08,0.851820574015675,2.46634516822341
"mean_upper",1,NA,187.613888915104,520.107407314047,0.0163065305308736,0.073114797468087,FALSE,"S05",139,"M06",FALSE,"waves/0003__local_level_skewed_T200__target0200__sentinel/workers/worker-08/fit_diagnostics.csv","local_level_skewed_T200__target0200__sentinel","one_chain_standard",200,100,NA,0.08,0.93806944457552,5.20107407314047
"mean_width",1,NA,191.099898326064,577.095360799363,0.016581555446278,0.0722397264906495,FALSE,"S05",139,"M06",FALSE,"waves/0003__local_level_skewed_T200__target0200__sentinel/workers/worker-08/fit_diagnostics.csv","local_level_skewed_T200__target0200__sentinel","one_chain_standard",200,100,NA,0.08,0.95549949163032,5.77095360799363
