"fit_id","swap_count","total_iterations","swap_fraction","role"
"fixed_W_local_level__fixed_rate__chain01",4005,8000,0.500625,"sidecar_only_not_mixing_evidence"
"fixed_W_local_level__fixed_rate__chain02",4040,8000,0.505,"sidecar_only_not_mixing_evidence"
"fixed_W_local_level__fixed_rate__chain03",4011,8000,0.501375,"sidecar_only_not_mixing_evidence"
"fixed_W_local_level__fixed_rate__chain04",4024,8000,0.503,"sidecar_only_not_mixing_evidence"
"fixed_W_local_level__learned_pseudoresidual_normalized__chain01",3952,8000,0.494,"sidecar_only_not_mixing_evidence"
"fixed_W_local_level__learned_pseudoresidual_normalized__chain02",4048,8000,0.506,"sidecar_only_not_mixing_evidence"
"fixed_W_local_level__learned_pseudoresidual_normalized__chain03",3983,8000,0.497875,"sidecar_only_not_mixing_evidence"
"fixed_W_local_level__learned_pseudoresidual_normalized__chain04",4023,8000,0.502875,"sidecar_only_not_mixing_evidence"
"frozen_trend_seasonal_discount__fixed_rate__chain01",4011,8000,0.501375,"sidecar_only_not_mixing_evidence"
"frozen_trend_seasonal_discount__fixed_rate__chain02",3939,8000,0.492375,"sidecar_only_not_mixing_evidence"
"frozen_trend_seasonal_discount__fixed_rate__chain03",4030,8000,0.50375,"sidecar_only_not_mixing_evidence"
"frozen_trend_seasonal_discount__fixed_rate__chain04",3974,8000,0.49675,"sidecar_only_not_mixing_evidence"
"frozen_trend_seasonal_discount__learned_pseudoresidual_normalized__chain01",3994,8000,0.49925,"sidecar_only_not_mixing_evidence"
"frozen_trend_seasonal_discount__learned_pseudoresidual_normalized__chain02",3997,8000,0.499625,"sidecar_only_not_mixing_evidence"
"frozen_trend_seasonal_discount__learned_pseudoresidual_normalized__chain03",3987,8000,0.498375,"sidecar_only_not_mixing_evidence"
"frozen_trend_seasonal_discount__learned_pseudoresidual_normalized__chain04",4022,8000,0.50275,"sidecar_only_not_mixing_evidence"
"shared_component_scale_trend_regression__fixed_rate__chain01",4042,8000,0.50525,"sidecar_only_not_mixing_evidence"
"shared_component_scale_trend_regression__fixed_rate__chain02",4013,8000,0.501625,"sidecar_only_not_mixing_evidence"
"shared_component_scale_trend_regression__fixed_rate__chain03",4052,8000,0.5065,"sidecar_only_not_mixing_evidence"
"shared_component_scale_trend_regression__fixed_rate__chain04",4025,8000,0.503125,"sidecar_only_not_mixing_evidence"
"shared_component_scale_trend_regression__learned_pseudoresidual_normalized__chain01",3983,8000,0.497875,"sidecar_only_not_mixing_evidence"
"shared_component_scale_trend_regression__learned_pseudoresidual_normalized__chain02",4039,8000,0.504875,"sidecar_only_not_mixing_evidence"
"shared_component_scale_trend_regression__learned_pseudoresidual_normalized__chain03",4006,8000,0.50075,"sidecar_only_not_mixing_evidence"
"shared_component_scale_trend_regression__learned_pseudoresidual_normalized__chain04",3914,8000,0.48925,"sidecar_only_not_mixing_evidence"
