"fixture_id","learning_rate_mode","estimand","rhat","ess_bulk","ess_tail","mcse_mean","pass"
"fixed_W_local_level","fixed_rate","train_lower_t001",1.00019677403764,13908.705617809,19418.79340738,0.0052694855059511,TRUE
"fixed_W_local_level","fixed_rate","train_lower_t002",1.00019534624301,13313.9475604449,19762.6786032766,0.00525958130625966,TRUE
"fixed_W_local_level","fixed_rate","train_lower_t003",1.00004254785909,13076.2690656132,18817.2677077884,0.00521411571509805,TRUE
"fixed_W_local_level","fixed_rate","train_lower_t004",1.00003903350374,12547.6147607269,18113.2844979861,0.00520980609570016,TRUE
"fixed_W_local_level","fixed_rate","train_lower_t005",1.0000676241265,12611.1974073196,18196.1747875966,0.00502207000982682,TRUE
"fixed_W_local_level","fixed_rate","train_lower_t006",1.00006728833932,12454.458728345,17501.3832257324,0.00488271314613598,TRUE
"fixed_W_local_level","fixed_rate","train_lower_t007",1.00006563071231,12427.6729557001,17652.3044243759,0.00466083903700595,TRUE
"fixed_W_local_level","fixed_rate","train_lower_t008",1.00003028316371,12321.1327442211,17323.9517012572,0.0044205113049567,TRUE
"fixed_W_local_level","fixed_rate","train_lower_t009",1.00000791633211,11787.7880309478,16740.3219046621,0.00422104885135925,TRUE
"fixed_W_local_level","fixed_rate","train_lower_t010",0.999976123925361,11841.4722631488,16662.2830704098,0.00389591775947264,TRUE
"fixed_W_local_level","fixed_rate","train_lower_t011",1.00008334165242,12080.717215501,15922.1292129962,0.00354381906985875,TRUE
"fixed_W_local_level","fixed_rate","train_lower_t012",0.99997951490142,13105.7724415433,15177.2304262909,0.00318703007508114,TRUE
"fixed_W_local_level","fixed_rate","train_lower_t013",0.999986475463376,13287.8549792771,15949.4948864258,0.00306646808910244,TRUE
"fixed_W_local_level","fixed_rate","train_lower_t014",1.00000544675805,12635.0435686922,15551.1506973586,0.00313615543501371,TRUE
"fixed_W_local_level","fixed_rate","train_lower_t015",1.00000380075339,12665.7219635519,15471.9416177602,0.00327982136878318,TRUE
"fixed_W_local_level","fixed_rate","train_lower_t016",1.00020918398657,11801.1795458505,15561.1452983129,0.00365765723362094,TRUE
"fixed_W_local_level","fixed_rate","train_lower_t017",1.00006998818522,11426.7488111086,15544.9529330998,0.00413790438974939,TRUE
"fixed_W_local_level","fixed_rate","train_lower_t018",1.00005798280183,11246.4666900484,15419.4041514401,0.00454085896324083,TRUE
"fixed_W_local_level","fixed_rate","train_lower_t019",1.00014830262996,11686.6003531977,15650.7625814481,0.00484388154341519,TRUE
"fixed_W_local_level","fixed_rate","train_lower_t020",1.00004294303629,11756.483193602,16366.2918290017,0.00519303337828611,TRUE
"fixed_W_local_level","fixed_rate","train_lower_t021",1.00006634279533,12029.9950082315,16869.4284996875,0.00547252540663305,TRUE
"fixed_W_local_level","fixed_rate","train_lower_t022",1.00002530750455,12086.9114003262,16198.8204074565,0.00576045869376073,TRUE
"fixed_W_local_level","fixed_rate","train_lower_t023",0.999987344442999,12206.8908445415,16157.557075561,0.00602441053077374,TRUE
"fixed_W_local_level","fixed_rate","train_lower_t024",0.999993760185648,12760.9349398614,17302.208394838,0.00614161928283515,TRUE
"fixed_W_local_level","fixed_rate","train_upper_t001",1.00005392040154,13647.0414938543,15646.6017604891,0.00470844777451607,TRUE
"fixed_W_local_level","fixed_rate","train_upper_t002",0.999975207506858,13039.0811018128,15440.8608099717,0.00459299020681168,TRUE
"fixed_W_local_level","fixed_rate","train_upper_t003",0.99997784701116,13225.371041691,15029.9663610403,0.00437222504075204,TRUE
"fixed_W_local_level","fixed_rate","train_upper_t004",1.0000025552531,13040.8554442139,15823.9261475117,0.00421760833124228,TRUE
"fixed_W_local_level","fixed_rate","train_upper_t005",1.00003080065795,12847.553493853,14985.7603617963,0.00419291673338231,TRUE
"fixed_W_local_level","fixed_rate","train_upper_t006",1.00010521630404,12564.3902840893,14522.3446642621,0.00432748677329811,TRUE
"fixed_W_local_level","fixed_rate","train_upper_t007",1.00002851014451,11570.3551426495,14255.2906636704,0.00455784750649786,TRUE
"fixed_W_local_level","fixed_rate","train_upper_t008",0.999966431219038,11029.3569308301,14320.9313088141,0.00473992857906271,TRUE
"fixed_W_local_level","fixed_rate","train_upper_t009",0.999959521265296,10667.8637516915,15607.1871195837,0.00492826856936419,TRUE
"fixed_W_local_level","fixed_rate","train_upper_t010",0.999980613636577,10766.8474946341,15347.05865889,0.00500272249584237,TRUE
"fixed_W_local_level","fixed_rate","train_upper_t011",1.00000969195557,10831.311927024,15816.4216269,0.00503991863743797,TRUE
"fixed_W_local_level","fixed_rate","train_upper_t012",0.999976738949857,10847.9303045174,16298.4266443796,0.00510156569692847,TRUE
"fixed_W_local_level","fixed_rate","train_upper_t013",0.999972787266025,10569.3046180253,15365.7971462734,0.00516459501560891,TRUE
"fixed_W_local_level","fixed_rate","train_upper_t014",0.999977556709175,10468.6050772233,15567.1872864638,0.00514746143687481,TRUE
"fixed_W_local_level","fixed_rate","train_upper_t015",0.999972840685237,10476.2805898499,14484.2904708819,0.00506835230695278,TRUE
"fixed_W_local_level","fixed_rate","train_upper_t016",1.00001271677218,10655.9644326047,16072.6194204201,0.00490498525489893,TRUE
"fixed_W_local_level","fixed_rate","train_upper_t017",0.999999720699414,10967.2847355761,15154.3792442003,0.00468532846830288,TRUE
"fixed_W_local_level","fixed_rate","train_upper_t018",0.999970407981629,11150.7773857425,15182.9973610755,0.00447217132150419,TRUE
"fixed_W_local_level","fixed_rate","train_upper_t019",0.999972377120509,11083.8890639684,16617.7922344252,0.00425770474618071,TRUE
"fixed_W_local_level","fixed_rate","train_upper_t020",0.999973099583943,11383.3630706243,16902.7095239778,0.00396102901469295,TRUE
"fixed_W_local_level","fixed_rate","train_upper_t021",1.00000130876428,12098.4480413285,15619.4356811959,0.00363165839570856,TRUE
"fixed_W_local_level","fixed_rate","train_upper_t022",1.00018801789034,13178.9670082035,16036.1817990127,0.00334722034533708,TRUE
"fixed_W_local_level","fixed_rate","train_upper_t023",0.999989833124758,14465.9518536559,17330.8479946389,0.00320410400920969,TRUE
"fixed_W_local_level","fixed_rate","train_upper_t024",1.00005786889155,15487.8557180532,18468.5649162461,0.00328515682693606,TRUE
"fixed_W_local_level","fixed_rate","train_midpoint_t001",1.00016220588808,13843.519347676,19080.4355873197,0.00366841925792329,TRUE
"fixed_W_local_level","fixed_rate","train_midpoint_t002",1.0000857172777,13380.2134411077,18598.4458675193,0.00358314267722176,TRUE
"fixed_W_local_level","fixed_rate","train_midpoint_t003",1.00000532586883,13427.6129554803,17874.3268676935,0.00344342980460351,TRUE
"fixed_W_local_level","fixed_rate","train_midpoint_t004",1.00002996134649,13276.4792467414,17706.270116765,0.00333602999421137,TRUE
"fixed_W_local_level","fixed_rate","train_midpoint_t005",1.00004220661218,13505.4230309467,18540.3493537544,0.00321322149858292,TRUE
"fixed_W_local_level","fixed_rate","train_midpoint_t006",1.00006135769762,13252.8306538486,18507.6242999203,0.00320558428947467,TRUE
"fixed_W_local_level","fixed_rate","train_midpoint_t007",1.00010993717018,12671.3071262561,16775.1420649192,0.00321290312991322,TRUE
"fixed_W_local_level","fixed_rate","train_midpoint_t008",1.00000110074729,12276.5584386125,16336.7220131701,0.00319725874923144,TRUE
"fixed_W_local_level","fixed_rate","train_midpoint_t009",0.999973118864888,12061.2086594936,17631.6575351965,0.003165864295634,TRUE
"fixed_W_local_level","fixed_rate","train_midpoint_t010",0.999959910968064,12274.7502946389,16675.2472785702,0.00303854186792693,TRUE
"fixed_W_local_level","fixed_rate","train_midpoint_t011",0.999977151694633,12638.5342340518,16914.3313101747,0.0028660335428546,TRUE
"fixed_W_local_level","fixed_rate","train_midpoint_t012",0.999963109344082,13367.0087932246,18369.2360553699,0.00269411532334981,TRUE
"fixed_W_local_level","fixed_rate","train_midpoint_t013",1.00005082240986,13584.7957355755,17056.5656437071,0.00260453937215106,TRUE
"fixed_W_local_level","fixed_rate","train_midpoint_t014",1.00005658883236,13497.9977344099,17763.7621252792,0.00258274322649797,TRUE
"fixed_W_local_level","fixed_rate","train_midpoint_t015",1.0000288319843,13507.3110742203,18364.8165355889,0.00260478308862402,TRUE
"fixed_W_local_level","fixed_rate","train_midpoint_t016",1.00003235714246,13803.2318291438,18297.7636107304,0.0026399393129848,TRUE
"fixed_W_local_level","fixed_rate","train_midpoint_t017",0.999962331982176,14210.7569338194,18106.2821021112,0.00270069052272052,TRUE
"fixed_W_local_level","fixed_rate","train_midpoint_t018",0.999979793108082,14086.0802217989,18280.6401589106,0.00279903807949005,TRUE
"fixed_W_local_level","fixed_rate","train_midpoint_t019",0.999987945954983,14081.4067482155,18570.99700877,0.00287657643762612,TRUE
"fixed_W_local_level","fixed_rate","train_midpoint_t020",0.999996109815593,14382.0975423398,18447.3648641525,0.00289923878649644,TRUE
"fixed_W_local_level","fixed_rate","train_midpoint_t021",1.00000217791977,14585.9629999137,18982.8637361655,0.00291525159802121,TRUE
"fixed_W_local_level","fixed_rate","train_midpoint_t022",0.99999208791368,15179.5007034065,19030.6629342493,0.00290240914858611,TRUE
"fixed_W_local_level","fixed_rate","train_midpoint_t023",0.999973386373951,15454.9380655159,18513.1446741358,0.00295045768691964,TRUE
"fixed_W_local_level","fixed_rate","train_midpoint_t024",0.999970017364383,16376.3002024587,18983.7354233667,0.00300211400625758,TRUE
