"fixture_id","state_dimension","component_dims","component_names","observed_count","missing_count","training_horizon","future_horizon","evolution_mode","exact_joint_target","extension_reproduces_training","model_digest","evolution_digest","missing_response_digest","future_digest"
"fixed_W_local_level",1,"1","level",22,2,24,4,"fixed_W",TRUE,NA,"1c15ed4db6f15dc28ba04ab37273f379b1a70cf99ef40235041819688165289b","370ca8b5d6ee38d6b9857bdaee84cad0dffccdc327d54f0e2cdeb12a725eab7d","b6d5dd507528440e3180e5313da149a8c4ef7d74a7f489dc45d18d5cbf39a63d","1713bf049eb08578c20535673d9cbf9b8a571b1564677865fe5441dce9ca72a3"
"frozen_trend_seasonal_discount",5,"2,3","trend,seasonal",36,0,36,4,"discount_template",TRUE,TRUE,"7fc78a7cf8df19bf111e3a07fbed7f8c697df23aa1f8bc0b10b5474b2ba9f7d3","23b9b2874128a5be8a26a3eb23cb6f6116c28d0512c48c6300a8d82a85a64db9","d593d5be844adbc0b76f2e22c4cbf5c83a8916bac57be4c984028b1486fde23a","465a493a3b68112d86848d433d485745c56529c14e139afc2bde22515c0a9858"
"shared_component_scale_trend_regression",3,"2,1","trend,regression",29,1,30,3,"component_scale",TRUE,NA,"60f84d4e62f878130c24ac549ba5f93455a62a3653860e8825a813b3a833c048","9817a2b18c136e0e5f414d6af1767160514b2750cd430babf74779053a5c8657","073c3c1a35507fff6485a08c9875aecc2c6c4b64de3f023c17c23653039cfb97","1357de061de9a6fbb8b10c96b159e9268db59fb3219233d7d61ba3f18a0cafad"
