"estimand","chains","rhat","ess_bulk","ess_tail","mcse_mean","mcse_over_sd","pass","DGP","replication","sentinel"
"mean_lower",1,NA,539.618551297718,1158.55081483574,0.00354070238844802,0.0429939328532361,TRUE,"S03",13,FALSE
"mean_upper",1,NA,620.103969102662,1324.2828724229,0.00291944179945333,0.0401453822166846,TRUE,"S03",13,FALSE
"mean_midpoint",1,NA,460.59229363461,1280.5093287491,0.00253599644397239,0.0466557634178114,TRUE,"S03",13,FALSE
"mean_width",1,NA,595.416814341287,1151.80177717766,0.00454482535488177,0.0409409871003684,TRUE,"S03",13,FALSE
"observed_loss",1,NA,975.770044465162,1862.47644885041,0.0978768644479327,0.0316365086862307,TRUE,"S03",13,FALSE
"training_t0001_lower",1,NA,1675.96427985756,2523.33028342826,0.0102092192221127,0.024532984769316,TRUE,"S03",13,FALSE
"training_t0001_upper",1,NA,1634.28237083473,2395.64617613238,0.00521216819096282,0.0250126532070476,TRUE,"S03",13,FALSE
"training_t0001_midpoint",1,NA,1567.81684493179,2704.76951439896,0.00592189854084067,0.025307152858438,TRUE,"S03",13,FALSE
"training_t0001_width",1,NA,1746.69026308465,2613.62298596809,0.0111140903764116,0.0240157240188451,TRUE,"S03",13,FALSE
"training_t0050_lower",1,NA,741.161441748734,1434.25858220381,0.00562517408991889,0.0367932453472767,TRUE,"S03",13,FALSE
"training_t0050_upper",1,NA,1409.02894999753,2211.18995580422,0.00265205863554849,0.0266682635450968,TRUE,"S03",13,FALSE
"training_t0050_midpoint",1,NA,989.703951397375,1884.89542523326,0.00291683950267716,0.0317838590093269,TRUE,"S03",13,FALSE
"training_t0050_width",1,NA,859.128567122902,1692.48084186514,0.00618142744671589,0.0341106034659303,TRUE,"S03",13,FALSE
"training_t0100_lower",1,NA,989.977287305529,1819.14517515881,0.00414644162918519,0.0317203093495592,TRUE,"S03",13,FALSE
"training_t0100_upper",1,NA,836.26653860142,1811.13826392956,0.00436288304733333,0.0346273309549302,TRUE,"S03",13,FALSE
"training_t0100_midpoint",1,NA,1008.8925817202,2157.06723769719,0.0027553507877728,0.031292258466103,TRUE,"S03",13,FALSE
"training_t0100_width",1,NA,868.024728984687,1641.66485959149,0.00633986979221031,0.0339308300221037,TRUE,"S03",13,FALSE
"training_t0150_lower",1,NA,1075.2227638148,1911.92906486943,0.00349527016104828,0.0303287032524002,TRUE,"S03",13,FALSE
"training_t0150_upper",1,NA,707.952459098729,1810.17741180786,0.00489285888872542,0.0376482121162605,TRUE,"S03",13,FALSE
"training_t0150_midpoint",1,NA,671.996819857943,1987.62022430142,0.00336479248542899,0.038552699855259,TRUE,"S03",13,FALSE
"training_t0150_width",1,NA,862.081306718231,1859.37659774495,0.00588130007735218,0.0340270406076636,TRUE,"S03",13,FALSE
"training_t0200_lower",1,NA,965.255985945728,1830.29251486127,0.0058998612204164,0.0322334058642309,TRUE,"S03",13,FALSE
"training_t0200_upper",1,NA,843.958088057317,1794.77041345588,0.00636989373393086,0.034233857105357,TRUE,"S03",13,FALSE
