"DGP","replication","sentinel","chains","diagnostics","diagnostics_passed","all_pass","fit_elapsed_seconds","maximum_peak_RSS_KiB","minimum_bulk_ess","minimum_tail_ess","maximum_mcse_over_sd"
"S03",13,FALSE,1,45,45,TRUE,92.522,818092,460.59229363461,1151.80177717766,0.0466557634178114
"S03",103,FALSE,1,45,45,TRUE,88.739,818100,496.729178197628,939.139762084958,0.0447355118729492
"S03",192,TRUE,4,45,45,TRUE,364.67,818344,1704.20483010013,2604.12101306766,0.0246701380385545
"S04",193,FALSE,1,45,45,TRUE,89.556,818352,351.019871486878,571.43348295309,0.0533946087464655
"S04",16,FALSE,1,45,45,TRUE,92.494,818268,337.076532077886,521.54278073973,0.0538266117955733
"S03",20,FALSE,1,45,45,TRUE,91.773,818092,519.693442535261,889.039990296407,0.0437335109700398
"S03",117,FALSE,1,45,45,TRUE,85.396,818100,577.879362709538,957.211451625843,0.0417217385606491
"S03",28,FALSE,1,45,45,TRUE,90.957,818080,382.627305132223,898.932783318038,0.0488578619843787
"S04",39,TRUE,4,45,45,TRUE,348.423,818352,1332.18718809222,1898.96012330677,0.0277046566502783
"S03",121,FALSE,1,45,45,TRUE,91.794,818268,611.924053434228,1006.73766859358,0.0405471066827486
"S03",55,TRUE,4,45,45,TRUE,355.041,818344,2206.05369186025,4043.67199737569,0.0213578041250101
"S04",91,TRUE,4,45,45,TRUE,353.324,818352,1248.71372556535,1966.89856582283,0.0284977485319578
"S03",165,FALSE,1,45,45,TRUE,94.424,831536,411.995396334108,926.383187536346,0.0493413025627569
"S03",89,FALSE,1,45,45,TRUE,86.35,831780,468.559313300812,904.706422565091,0.0457736160856783
"S04",96,FALSE,1,45,45,TRUE,92.948,831528,370.494851141756,884.143907527317,0.0520760033447617
"S03",166,TRUE,4,45,45,TRUE,348.852,831836,1822.31235194868,3421.75371646315,0.0235805786645623
"S03",90,FALSE,1,45,45,TRUE,93.634,831916,357.033708759942,792.704519701842,0.0534233033417062
"S04",150,TRUE,4,45,45,TRUE,359.924,843660,985.210931336298,2311.68298592199,0.0318333381090794
"S03",168,FALSE,1,45,45,TRUE,87.744,842980,393.338598648498,974.106505505697,0.0503384530737827
"S03",94,FALSE,1,45,45,TRUE,87.226,843832,517.606612476263,947.699477844085,0.0439958696295993
"S04",164,TRUE,4,45,45,TRUE,356.502,851976,1231.60969832876,3068.56298733349,0.0285913097583427
"S03",183,FALSE,1,45,45,TRUE,89.001,860676,507.945614174366,927.905894545343,0.0443431631227818
"S03",97,TRUE,4,45,45,TRUE,345.19,860060,2174.99577486475,4146.26020837749,0.0214859917250241
"S04",180,FALSE,1,45,45,TRUE,91.711,851912,230.559759136394,445.544652454232,0.0678983136092964
"S03",185,FALSE,1,45,45,TRUE,79.127,858220,359.404808763698,729.844222281794,0.0525067919813802
