"candidate_id","family","target","order","cell_key","process_isolation","maximum_chain_workers"
"candidate_01","fixed_design","RQR",1,"candidate_01_fixed_design_rqr",TRUE,1
"candidate_01","dlm","RQR",2,"candidate_01_dlm_rqr",TRUE,1
"candidate_01","fixed_design","ET",3,"candidate_01_fixed_design_et",TRUE,1
"candidate_01","dlm","ET",4,"candidate_01_dlm_et",TRUE,1
"candidate_01","fixed_design","SH",5,"candidate_01_fixed_design_sh",TRUE,1
"candidate_01","dlm","SH",6,"candidate_01_dlm_sh",TRUE,1
"candidate_02","fixed_design","RQR",7,"candidate_02_fixed_design_rqr",TRUE,1
"candidate_02","dlm","RQR",8,"candidate_02_dlm_rqr",TRUE,1
"candidate_02","fixed_design","ET",9,"candidate_02_fixed_design_et",TRUE,1
"candidate_02","dlm","ET",10,"candidate_02_dlm_et",TRUE,1
"candidate_02","fixed_design","SH",11,"candidate_02_fixed_design_sh",TRUE,1
"candidate_02","dlm","SH",12,"candidate_02_dlm_sh",TRUE,1
"candidate_03","fixed_design","RQR",13,"candidate_03_fixed_design_rqr",TRUE,1
"candidate_03","dlm","RQR",14,"candidate_03_dlm_rqr",TRUE,1
"candidate_03","fixed_design","ET",15,"candidate_03_fixed_design_et",TRUE,1
"candidate_03","dlm","ET",16,"candidate_03_dlm_et",TRUE,1
"candidate_03","fixed_design","SH",17,"candidate_03_fixed_design_sh",TRUE,1
"candidate_03","dlm","SH",18,"candidate_03_dlm_sh",TRUE,1
