"candidate_id","gate","value","threshold","comparison","pass"
"candidate_01","expected_rare_tail_count",11.7800010264016,10,">=",TRUE
"candidate_01","static_design_rank",8,8,"==",TRUE
"candidate_01","static_basis_gram",6.66133814775094e-16,1e-10,"<=",TRUE
"candidate_01","static_truth_projection",4.66293670342566e-15,1e-10,"<=",TRUE
"candidate_01","dynamic_truth_projection",8.88178419700125e-16,1e-10,"<=",TRUE
"candidate_01","fixed_horizon_covariance",1.28785870856518e-13,1e-10,"<=",TRUE
"candidate_01","seasonal_covariance_recursion",7.061018436616e-14,1e-10,"<=",TRUE
"candidate_01","dynamic_observability_rank",4,4,"==",TRUE
"candidate_01","static_scale_floor",0.38,0.35,">=",TRUE
"candidate_01","dynamic_scale_floor",0.330000775289832,0.3,">=",TRUE
"candidate_01","scale_quintile_rare_tail_count",2.35000020475754,2,">=",TRUE
"candidate_01","missing_mask",22,22,"==",TRUE
"candidate_01","fit_plan_size",27,27,"==",TRUE
"candidate_01","static_initialization_count",12,12,"==",TRUE
"candidate_01","static_initialization_minimum_width",0.785995072026499,0.05,">=",TRUE
"candidate_01","static_initialization_unique_digests",12,12,"==",TRUE
"candidate_01","cornish_fisher_absent",0,0,"==",TRUE
"candidate_02","expected_rare_tail_count",11.7800010264016,10,">=",TRUE
"candidate_02","static_design_rank",8,8,"==",TRUE
"candidate_02","static_basis_gram",6.66133814775094e-16,1e-10,"<=",TRUE
"candidate_02","static_truth_projection",4.66293670342566e-15,1e-10,"<=",TRUE
"candidate_02","dynamic_truth_projection",8.88178419700125e-16,1e-10,"<=",TRUE
"candidate_02","fixed_horizon_covariance",1.28785870856518e-13,1e-10,"<=",TRUE
"candidate_02","seasonal_covariance_recursion",7.061018436616e-14,1e-10,"<=",TRUE
"candidate_02","dynamic_observability_rank",4,4,"==",TRUE
"candidate_02","static_scale_floor",0.38,0.35,">=",TRUE
"candidate_02","dynamic_scale_floor",0.330000775289832,0.3,">=",TRUE
"candidate_02","scale_quintile_rare_tail_count",2.35000020475754,2,">=",TRUE
"candidate_02","missing_mask",22,22,"==",TRUE
"candidate_02","fit_plan_size",27,27,"==",TRUE
"candidate_02","static_initialization_count",12,12,"==",TRUE
"candidate_02","static_initialization_minimum_width",0.540446123321965,0.05,">=",TRUE
"candidate_02","static_initialization_unique_digests",12,12,"==",TRUE
"candidate_02","cornish_fisher_absent",0,0,"==",TRUE
"candidate_03","expected_rare_tail_count",11.7800010264016,10,">=",TRUE
"candidate_03","static_design_rank",8,8,"==",TRUE
"candidate_03","static_basis_gram",6.66133814775094e-16,1e-10,"<=",TRUE
"candidate_03","static_truth_projection",4.66293670342566e-15,1e-10,"<=",TRUE
"candidate_03","dynamic_truth_projection",8.88178419700125e-16,1e-10,"<=",TRUE
"candidate_03","fixed_horizon_covariance",1.28785870856518e-13,1e-10,"<=",TRUE
"candidate_03","seasonal_covariance_recursion",7.061018436616e-14,1e-10,"<=",TRUE
"candidate_03","dynamic_observability_rank",4,4,"==",TRUE
"candidate_03","static_scale_floor",0.38,0.35,">=",TRUE
"candidate_03","dynamic_scale_floor",0.330000775289832,0.3,">=",TRUE
"candidate_03","scale_quintile_rare_tail_count",2.35000020475754,2,">=",TRUE
"candidate_03","missing_mask",22,22,"==",TRUE
"candidate_03","fit_plan_size",27,27,"==",TRUE
"candidate_03","static_initialization_count",12,12,"==",TRUE
"candidate_03","static_initialization_minimum_width",0.675688148187053,0.05,">=",TRUE
"candidate_03","static_initialization_unique_digests",12,12,"==",TRUE
"candidate_03","cornish_fisher_absent",0,0,"==",TRUE
