"fixture_id","learning_rate_mode","chain","seed","fit_id","status","started_at","ended_at","elapsed_seconds","message"
"fixed_W_local_level","fixed_rate",1,84201,"fixed_W_local_level__fixed_rate__chain01","failed","2026-07-24 06:05:55 UTC","2026-07-24 06:08:02 UTC",127.383,"Bounded estimand schema mismatch in chain(s) 1; expected schema rqrgibbs_dlm_bounded_estimands/1.0.0 with 117 ordered estimands."
"fixed_W_local_level","fixed_rate",2,84202,"fixed_W_local_level__fixed_rate__chain02","planned",NA,NA,NA,""
"fixed_W_local_level","fixed_rate",3,84203,"fixed_W_local_level__fixed_rate__chain03","planned",NA,NA,NA,""
"fixed_W_local_level","fixed_rate",4,84204,"fixed_W_local_level__fixed_rate__chain04","planned",NA,NA,NA,""
"fixed_W_local_level","learned_pseudoresidual_normalized",1,84201,"fixed_W_local_level__learned_pseudoresidual_normalized__chain01","planned",NA,NA,NA,""
"fixed_W_local_level","learned_pseudoresidual_normalized",2,84202,"fixed_W_local_level__learned_pseudoresidual_normalized__chain02","planned",NA,NA,NA,""
"fixed_W_local_level","learned_pseudoresidual_normalized",3,84203,"fixed_W_local_level__learned_pseudoresidual_normalized__chain03","planned",NA,NA,NA,""
"fixed_W_local_level","learned_pseudoresidual_normalized",4,84204,"fixed_W_local_level__learned_pseudoresidual_normalized__chain04","planned",NA,NA,NA,""
"frozen_trend_seasonal_discount","fixed_rate",1,84201,"frozen_trend_seasonal_discount__fixed_rate__chain01","planned",NA,NA,NA,""
"frozen_trend_seasonal_discount","fixed_rate",2,84202,"frozen_trend_seasonal_discount__fixed_rate__chain02","planned",NA,NA,NA,""
"frozen_trend_seasonal_discount","fixed_rate",3,84203,"frozen_trend_seasonal_discount__fixed_rate__chain03","planned",NA,NA,NA,""
"frozen_trend_seasonal_discount","fixed_rate",4,84204,"frozen_trend_seasonal_discount__fixed_rate__chain04","planned",NA,NA,NA,""
"frozen_trend_seasonal_discount","learned_pseudoresidual_normalized",1,84201,"frozen_trend_seasonal_discount__learned_pseudoresidual_normalized__chain01","planned",NA,NA,NA,""
"frozen_trend_seasonal_discount","learned_pseudoresidual_normalized",2,84202,"frozen_trend_seasonal_discount__learned_pseudoresidual_normalized__chain02","planned",NA,NA,NA,""
"frozen_trend_seasonal_discount","learned_pseudoresidual_normalized",3,84203,"frozen_trend_seasonal_discount__learned_pseudoresidual_normalized__chain03","planned",NA,NA,NA,""
"frozen_trend_seasonal_discount","learned_pseudoresidual_normalized",4,84204,"frozen_trend_seasonal_discount__learned_pseudoresidual_normalized__chain04","planned",NA,NA,NA,""
"shared_component_scale_trend_regression","fixed_rate",1,84201,"shared_component_scale_trend_regression__fixed_rate__chain01","planned",NA,NA,NA,""
"shared_component_scale_trend_regression","fixed_rate",2,84202,"shared_component_scale_trend_regression__fixed_rate__chain02","planned",NA,NA,NA,""
"shared_component_scale_trend_regression","fixed_rate",3,84203,"shared_component_scale_trend_regression__fixed_rate__chain03","planned",NA,NA,NA,""
"shared_component_scale_trend_regression","fixed_rate",4,84204,"shared_component_scale_trend_regression__fixed_rate__chain04","planned",NA,NA,NA,""
"shared_component_scale_trend_regression","learned_pseudoresidual_normalized",1,84201,"shared_component_scale_trend_regression__learned_pseudoresidual_normalized__chain01","planned",NA,NA,NA,""
"shared_component_scale_trend_regression","learned_pseudoresidual_normalized",2,84202,"shared_component_scale_trend_regression__learned_pseudoresidual_normalized__chain02","planned",NA,NA,NA,""
"shared_component_scale_trend_regression","learned_pseudoresidual_normalized",3,84203,"shared_component_scale_trend_regression__learned_pseudoresidual_normalized__chain03","planned",NA,NA,NA,""
"shared_component_scale_trend_regression","learned_pseudoresidual_normalized",4,84204,"shared_component_scale_trend_regression__learned_pseudoresidual_normalized__chain04","planned",NA,NA,NA,""
