"family","n_index","n_observed","n_missing","dgp_seed","dgp_digest","target_digest"
"fixed_design",1200,1200,0,202607311,"ef43a9bdef990b57406a63a4edf81acd7fc147c2c8dc6bd122ea23c762f0d0e1","9bca4db642f2742161540338dcd17c2488e1431acd6e0b8849ddf5e02d483d4c"
"dlm",1200,1178,22,202607312,"ffd9f2892be785f35f5852b0ca0e9581b273bbc41874805126dd03ac272bc0a5","5763c0d42147b2e705171c0c00cbf72773063484cad2f0365d6811f84192caa9"
