"mode","path","closeout_sha256","artifact_manifest_sha256","wrapper_artifact_manifest_sha256","source_commit","config_sha256","runtime_tree_digest"
"preflight","preflight_immutable_20260801","fbaccb7b7a4adbb41666a724c5bc8c0c6b9ee0a5b76c5d71af9ba1405c34b9da","e8f2b2a2c651245efe11b747d56098fe581adaf56db7b2077d05e1458913134c","1c4f4a302c71597c9d45fc969752d6597a52319542bd99404a5829255af45e6c","fec979f927c9039cf778ac09aef139ebd6761e8e","e037461a3adf3a98065af9718daf636e6fbbd54ec00cc2fd71c9404f6ba50587","d7890468c42d046697a11fe6784e7f08ac26a72c4764d5adb9ecca37931158b9"
"reference-only","reference_immutable_20260801","17b0eea2bcaf90c8fb61f7be40a08194068c7e1871f43913f6b6753519f01488","7a99636d4712cc3f9d4672ce6d3d854045f1a8d2f0978bc429fff62408659a4d","c6f24aa72beba0547bf016120817177a2fc37b3acf4e358ce245235a5fb183c3","fec979f927c9039cf778ac09aef139ebd6761e8e","e037461a3adf3a98065af9718daf636e6fbbd54ec00cc2fd71c9404f6ba50587","d7890468c42d046697a11fe6784e7f08ac26a72c4764d5adb9ecca37931158b9"
"benchmark","benchmark_final_20260801","e1a19139190ff7517096e8643f1a55c24df6a1104dd58ae6e8a2516de505da12","305d4d8c2d63242e285aa7bc8a3d1363c5437429fd8d0d4389d50f54587a7013","5a4a86dd950197b82151f35165e2d398db29ae456014cf66535cff63dabf8ce8","fec979f927c9039cf778ac09aef139ebd6761e8e","e037461a3adf3a98065af9718daf636e6fbbd54ec00cc2fd71c9404f6ba50587","d7890468c42d046697a11fe6784e7f08ac26a72c4764d5adb9ecca37931158b9"
