"tau2","center_row_norm","maximum_row_norm","center_half_width","maximum_half_width","pass","selected"
0.5,1.49999982638876,2.99500693519835,2.07885549591603,4.1507915654452,FALSE,FALSE
1,1.49999982638876,2.99500693519835,2.9399456365383,5.87010572643645,TRUE,TRUE
2,1.49999982638876,2.99500693519835,4.15771099183206,8.3015831308904,FALSE,FALSE
4,1.49999982638876,2.99500693519835,5.8798912730766,11.7402114528729,FALSE,FALSE
8,1.49999982638876,2.99500693519835,8.31542198366413,16.6031662617808,FALSE,FALSE
16,1.49999982638876,2.99500693519835,11.7597825461532,23.4804229057458,FALSE,FALSE
25,1.49999982638876,2.99500693519835,14.6997281826915,29.3505286321822,FALSE,FALSE
