"raw_term","basis_0","basis_1","basis_2"
"(Intercept)",1,9.58219687792904e-16,-1.11803515337126
"x",7.09359483910375e-17,1.73060803280157,1.72559081841917e-16
"x2",-1.59340427523086e-15,-2.11418844691569e-15,3.3485199389479
