"root","draw","maximum_mean_absolute_error","maximum_covariance_absolute_error","R_repair_count","cpp_repair_count"
"root1",3000,0,0,0,0
"root2",3000,0,0,0,0
"root1",3000,0,0,0,0
"root2",3000,0,0,0,0
"root1",3000,0,0,0,0
"root2",3000,0,0,0,0
"root1",3000,0,0,0,0
"root2",3000,0,0,0,0
"root1",3000,0,0,0,0
"root2",3000,0,0,0,0
"root1",3000,0,0,0,0
"root2",3000,0,0,0,0
"root1",3000,0,0,0,0
"root2",3000,0,0,0,0
"root1",3000,0,0,0,0
"root2",3000,0,0,0,0
"root1",3000,0,0,0,0
"root2",3000,0,0,0,0
"root1",3000,0,0,0,0
"root2",3000,0,0,0,0
"root1",3000,0,0,0,0
"root2",3000,0,0,0,0
"root1",3000,0,0,0,0
"root2",3000,0,0,0,0
"root1",3000,0,0,0,0
"root2",3000,0,0,0,0
"root1",3000,0,0,0,0
"root2",3000,0,0,0,0
"root1",3000,0,0,0,0
"root2",3000,0,0,0,0
