"target","endpoint","max_absolute_residual","root_mean_square_residual"
"RQR","lower",2.22044604925031e-15,2.44669243029728e-16
"RQR","upper",5.52335954751015e-15,3.23925226348818e-16
"ET","lower",8.88178419700125e-16,4.12466904814666e-16
"ET","upper",5.71764857681956e-15,2.56824702369243e-16
"SH","lower",1.11022302462516e-15,2.59619745474739e-16
"SH","upper",5.74540415243519e-15,2.32783085543772e-16
