stage,status,started_at_utc,ended_at_utc,elapsed_seconds,stdout,stderr
install_check_runtime,0,2026-07-30T20:24:23Z,2026-07-30T20:25:06Z,43,/data/muscat_data/jaguir26/.rqr_gibbs_worktrees/rqr_gibbs_main_promotion_20260728/application/cache/rqr_dlm_promotion_checks_a9eaadc_20260730/logs/install_check_runtime.stdout.log,/data/muscat_data/jaguir26/.rqr_gibbs_worktrees/rqr_gibbs_main_promotion_20260728/application/cache/rqr_dlm_promotion_checks_a9eaadc_20260730/logs/install_check_runtime.stderr.log
make_smoke,0,2026-07-30T20:25:06Z,2026-07-30T20:25:07Z,1,/data/muscat_data/jaguir26/.rqr_gibbs_worktrees/rqr_gibbs_main_promotion_20260728/application/cache/rqr_dlm_promotion_checks_a9eaadc_20260730/logs/make_smoke.stdout.log,/data/muscat_data/jaguir26/.rqr_gibbs_worktrees/rqr_gibbs_main_promotion_20260728/application/cache/rqr_dlm_promotion_checks_a9eaadc_20260730/logs/make_smoke.stderr.log
test_standalone_contracts,0,2026-07-30T20:25:07Z,2026-07-30T20:27:45Z,158,/data/muscat_data/jaguir26/.rqr_gibbs_worktrees/rqr_gibbs_main_promotion_20260728/application/cache/rqr_dlm_promotion_checks_a9eaadc_20260730/logs/test_standalone_contracts.stdout.log,/data/muscat_data/jaguir26/.rqr_gibbs_worktrees/rqr_gibbs_main_promotion_20260728/application/cache/rqr_dlm_promotion_checks_a9eaadc_20260730/logs/test_standalone_contracts.stderr.log
test_native,0,2026-07-30T20:27:45Z,2026-07-30T20:28:59Z,74,/data/muscat_data/jaguir26/.rqr_gibbs_worktrees/rqr_gibbs_main_promotion_20260728/application/cache/rqr_dlm_promotion_checks_a9eaadc_20260730/logs/test_native.stdout.log,/data/muscat_data/jaguir26/.rqr_gibbs_worktrees/rqr_gibbs_main_promotion_20260728/application/cache/rqr_dlm_promotion_checks_a9eaadc_20260730/logs/test_native.stderr.log
test_native_mean_tilt,0,2026-07-30T20:28:59Z,2026-07-30T20:29:05Z,6,/data/muscat_data/jaguir26/.rqr_gibbs_worktrees/rqr_gibbs_main_promotion_20260728/application/cache/rqr_dlm_promotion_checks_a9eaadc_20260730/logs/test_native_mean_tilt.stdout.log,/data/muscat_data/jaguir26/.rqr_gibbs_worktrees/rqr_gibbs_main_promotion_20260728/application/cache/rqr_dlm_promotion_checks_a9eaadc_20260730/logs/test_native_mean_tilt.stderr.log
test_oracle_tilt_illustrations,0,2026-07-30T20:29:05Z,2026-07-30T20:29:11Z,6,/data/muscat_data/jaguir26/.rqr_gibbs_worktrees/rqr_gibbs_main_promotion_20260728/application/cache/rqr_dlm_promotion_checks_a9eaadc_20260730/logs/test_oracle_tilt_illustrations.stdout.log,/data/muscat_data/jaguir26/.rqr_gibbs_worktrees/rqr_gibbs_main_promotion_20260728/application/cache/rqr_dlm_promotion_checks_a9eaadc_20260730/logs/test_oracle_tilt_illustrations.stderr.log
package_check,0,2026-07-30T20:29:11Z,2026-07-30T20:31:33Z,142,/data/muscat_data/jaguir26/.rqr_gibbs_worktrees/rqr_gibbs_main_promotion_20260728/application/cache/rqr_dlm_promotion_checks_a9eaadc_20260730/logs/package_check.stdout.log,/data/muscat_data/jaguir26/.rqr_gibbs_worktrees/rqr_gibbs_main_promotion_20260728/application/cache/rqr_dlm_promotion_checks_a9eaadc_20260730/logs/package_check.stderr.log
prepare_pinned_exdqlm_runtime,0,2026-07-30T20:31:33Z,2026-07-30T20:34:59Z,206,/data/muscat_data/jaguir26/.rqr_gibbs_worktrees/rqr_gibbs_main_promotion_20260728/application/cache/rqr_dlm_promotion_checks_a9eaadc_20260730/logs/prepare_pinned_exdqlm_runtime.stdout.log,/data/muscat_data/jaguir26/.rqr_gibbs_worktrees/rqr_gibbs_main_promotion_20260728/application/cache/rqr_dlm_promotion_checks_a9eaadc_20260730/logs/prepare_pinned_exdqlm_runtime.stderr.log
test_exdqlm_rqr,0,2026-07-30T20:34:59Z,2026-07-30T20:35:37Z,38,/data/muscat_data/jaguir26/.rqr_gibbs_worktrees/rqr_gibbs_main_promotion_20260728/application/cache/rqr_dlm_promotion_checks_a9eaadc_20260730/logs/test_exdqlm_rqr.stdout.log,/data/muscat_data/jaguir26/.rqr_gibbs_worktrees/rqr_gibbs_main_promotion_20260728/application/cache/rqr_dlm_promotion_checks_a9eaadc_20260730/logs/test_exdqlm_rqr.stderr.log
prepare_document_source,0,2026-07-30T20:35:37Z,2026-07-30T20:35:37Z,0,/data/muscat_data/jaguir26/.rqr_gibbs_worktrees/rqr_gibbs_main_promotion_20260728/application/cache/rqr_dlm_promotion_checks_a9eaadc_20260730/logs/prepare_document_source.stdout.log,/data/muscat_data/jaguir26/.rqr_gibbs_worktrees/rqr_gibbs_main_promotion_20260728/application/cache/rqr_dlm_promotion_checks_a9eaadc_20260730/logs/prepare_document_source.stderr.log
make_pdf,0,2026-07-30T20:35:37Z,2026-07-30T20:35:58Z,21,/data/muscat_data/jaguir26/.rqr_gibbs_worktrees/rqr_gibbs_main_promotion_20260728/application/cache/rqr_dlm_promotion_checks_a9eaadc_20260730/logs/make_pdf.stdout.log,/data/muscat_data/jaguir26/.rqr_gibbs_worktrees/rqr_gibbs_main_promotion_20260728/application/cache/rqr_dlm_promotion_checks_a9eaadc_20260730/logs/make_pdf.stderr.log
make_supplement,0,2026-07-30T20:35:58Z,2026-07-30T20:36:19Z,21,/data/muscat_data/jaguir26/.rqr_gibbs_worktrees/rqr_gibbs_main_promotion_20260728/application/cache/rqr_dlm_promotion_checks_a9eaadc_20260730/logs/make_supplement.stdout.log,/data/muscat_data/jaguir26/.rqr_gibbs_worktrees/rqr_gibbs_main_promotion_20260728/application/cache/rqr_dlm_promotion_checks_a9eaadc_20260730/logs/make_supplement.stderr.log
make_literature_manifest,0,2026-07-30T20:36:19Z,2026-07-30T20:36:19Z,0,/data/muscat_data/jaguir26/.rqr_gibbs_worktrees/rqr_gibbs_main_promotion_20260728/application/cache/rqr_dlm_promotion_checks_a9eaadc_20260730/logs/make_literature_manifest.stdout.log,/data/muscat_data/jaguir26/.rqr_gibbs_worktrees/rqr_gibbs_main_promotion_20260728/application/cache/rqr_dlm_promotion_checks_a9eaadc_20260730/logs/make_literature_manifest.stderr.log
