"family","target","provenance_pass","hard_diagnostics_pass","strict_diagnostics_pass","conditional_reference_pass","pathology_pass","hard_pass","disposition","scientifically_usable_for_illustration","n_chains","retained_draws","numerical_repair_count","endpoint_rmse","width_rmse","realized_coverage","mean_width","oracle_mean_width","n_observed"
"fixed_design","RQR",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,"strict_pass",TRUE,4,24000,0,0.825073129266565,1.17654135801674,0.966666666666667,3.48374969193904,2.80922055065925,540
"fixed_design","ET",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,"strict_pass",TRUE,4,24000,0,0.455628812124204,0.667262640117939,0.97962962962963,2.61687008337093,2.17970798403913,540
"fixed_design","SH",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,"strict_pass",TRUE,4,24000,0,0.382691540293089,0.625386409542791,0.959259259259259,2.3235821729975,1.80037351225121,540
"dlm","RQR",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,"strict_pass",TRUE,5,30000,0,0.410819085115063,0.659699080658358,0.979381443298969,3.20230147000242,2.59675849220603,97
"dlm","ET",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,"strict_pass",TRUE,5,30000,0,0.42781100903289,0.757557070517665,0.969072164948454,2.7392021125562,2.01485611970004,97
"dlm","SH",TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,"illustration_warning_ess_only",TRUE,5,30000,0,0.886894699161949,1.51608507466238,0.958762886597938,3.1477331923866,1.66421080964397,97
