"family","target","chain","profile","n_burn","n_mcmc","cell","learning_rate_mode","tilt_source","cornish_fisher_used","seed"
"fixed_design","RQR",1,"seed_only",1000,6000,"fixed_design/RQR","fixed_rate","exact_population_oracle",FALSE,202607381
"fixed_design","RQR",2,"seed_only",1000,6000,"fixed_design/RQR","fixed_rate","exact_population_oracle",FALSE,202617381
"fixed_design","RQR",3,"seed_only",1000,6000,"fixed_design/RQR","fixed_rate","exact_population_oracle",FALSE,202627381
"fixed_design","RQR",4,"seed_only",1000,6000,"fixed_design/RQR","fixed_rate","exact_population_oracle",FALSE,202637381
"dlm","RQR",1,"default",2000,6000,"dlm/RQR","fixed_rate","exact_population_oracle",FALSE,202607382
"dlm","RQR",2,"oracle_centered",2000,6000,"dlm/RQR","fixed_rate","exact_population_oracle",FALSE,202617382
"dlm","RQR",3,"narrow",2000,6000,"dlm/RQR","fixed_rate","exact_population_oracle",FALSE,202627382
"dlm","RQR",4,"wide",2000,6000,"dlm/RQR","fixed_rate","exact_population_oracle",FALSE,202637382
"dlm","RQR",5,"slope_stress",2000,6000,"dlm/RQR","fixed_rate","exact_population_oracle",FALSE,202647382
"fixed_design","ET",1,"seed_only",1000,6000,"fixed_design/ET","fixed_rate","exact_population_oracle",FALSE,202607481
"fixed_design","ET",2,"seed_only",1000,6000,"fixed_design/ET","fixed_rate","exact_population_oracle",FALSE,202617481
"fixed_design","ET",3,"seed_only",1000,6000,"fixed_design/ET","fixed_rate","exact_population_oracle",FALSE,202627481
"fixed_design","ET",4,"seed_only",1000,6000,"fixed_design/ET","fixed_rate","exact_population_oracle",FALSE,202637481
"dlm","ET",1,"default",2000,6000,"dlm/ET","fixed_rate","exact_population_oracle",FALSE,202607482
"dlm","ET",2,"oracle_centered",2000,6000,"dlm/ET","fixed_rate","exact_population_oracle",FALSE,202617482
"dlm","ET",3,"narrow",2000,6000,"dlm/ET","fixed_rate","exact_population_oracle",FALSE,202627482
"dlm","ET",4,"wide",2000,6000,"dlm/ET","fixed_rate","exact_population_oracle",FALSE,202637482
"dlm","ET",5,"slope_stress",2000,6000,"dlm/ET","fixed_rate","exact_population_oracle",FALSE,202647482
"fixed_design","SH",1,"seed_only",1000,6000,"fixed_design/SH","fixed_rate","exact_population_oracle",FALSE,202607581
"fixed_design","SH",2,"seed_only",1000,6000,"fixed_design/SH","fixed_rate","exact_population_oracle",FALSE,202617581
"fixed_design","SH",3,"seed_only",1000,6000,"fixed_design/SH","fixed_rate","exact_population_oracle",FALSE,202627581
"fixed_design","SH",4,"seed_only",1000,6000,"fixed_design/SH","fixed_rate","exact_population_oracle",FALSE,202637581
"dlm","SH",1,"default",2000,6000,"dlm/SH","fixed_rate","exact_population_oracle",FALSE,202607582
"dlm","SH",2,"oracle_centered",2000,6000,"dlm/SH","fixed_rate","exact_population_oracle",FALSE,202617582
"dlm","SH",3,"narrow",2000,6000,"dlm/SH","fixed_rate","exact_population_oracle",FALSE,202627582
"dlm","SH",4,"wide",2000,6000,"dlm/SH","fixed_rate","exact_population_oracle",FALSE,202637582
"dlm","SH",5,"slope_stress",2000,6000,"dlm/SH","fixed_rate","exact_population_oracle",FALSE,202647582
