"root","draw","dense_mean_scale","dense_marginal_covariance_scale","dense_precision_reciprocal_condition","dense_maximum_absolute_normalized_residual","max_R_dense_mean_absolute_error","max_cpp_dense_mean_absolute_error","max_R_cpp_mean_absolute_error","max_R_dense_mean_relative_error","max_cpp_dense_mean_relative_error","max_R_dense_marginal_covariance_absolute_error","max_cpp_dense_marginal_covariance_absolute_error","max_R_dense_marginal_covariance_relative_error","max_cpp_dense_marginal_covariance_relative_error","R_repair_count","cpp_repair_count","target","chain","profile"
"root1",3000,2.49917842180868,1,1.6853732876921e-06,2.67459040032138e-14,2.1271873151818e-13,2.1271873151818e-13,0,8.51154642109278e-14,8.51154642109278e-14,1.35447209004269e-14,1.35447209004269e-14,1.35447209004269e-14,1.35447209004269e-14,0,0,"RQR",1,"default"
"root2",3000,5.97455157579766,1,5.3777461794653e-06,1.55290691356774e-14,1.3944401189292e-13,1.3944401189292e-13,0,2.33396615836064e-14,2.33396615836064e-14,1.51614831800373e-15,1.51614831800373e-15,1.51614831800373e-15,1.51614831800373e-15,0,0,"RQR",1,"default"
"root1",3000,6.34400053764958,1,5.22883652510134e-06,1.18112852386728e-14,2.29150032282632e-13,2.29150032282632e-13,0,3.61207460375676e-14,3.61207460375676e-14,3.56659146660832e-15,3.56659146660832e-15,3.56659146660832e-15,3.56659146660832e-15,0,0,"RQR",2,"oracle_centered"
"root2",3000,3.17024316555317,1,1.54244268357917e-06,2.56704260262531e-13,3.42392780794398e-13,3.42392780794398e-13,0,1.08002056282221e-13,1.08002056282221e-13,2.38420394538252e-14,2.38420394538252e-14,2.38420394538252e-14,2.38420394538252e-14,0,0,"RQR",2,"oracle_centered"
"root1",3000,6.1613655881959,1,8.44640197248405e-06,5.01174716353176e-15,9.2370555648813e-14,9.2370555648813e-14,0,1.49918965733471e-14,1.49918965733471e-14,3.46944695195361e-16,3.46944695195361e-16,3.46944695195361e-16,3.46944695195361e-16,0,0,"RQR",3,"narrow"
"root2",3000,3.08445390257724,1,1.04099488162875e-06,3.88599602429189e-14,1.18571819029967e-13,1.18571819029967e-13,0,3.8441754286194e-14,3.8441754286194e-14,2.67563748934663e-14,2.67563748934663e-14,2.67563748934663e-14,2.67563748934663e-14,0,0,"RQR",3,"narrow"
"root1",3000,2.20448794512277,1,1.42276700055987e-06,1.04679532313722e-13,3.89466237038505e-13,3.89466237038505e-13,0,1.76669705951517e-13,1.76669705951517e-13,4.10227407598995e-14,4.10227407598995e-14,4.10227407598995e-14,4.10227407598995e-14,0,0,"RQR",4,"wide"
"root2",3000,5.94998271978687,1,1.09771147621458e-05,3.58394930942675e-14,1.22568621918617e-13,1.22568621918617e-13,0,2.05998282164772e-14,2.05998282164772e-14,7.07767178198537e-16,7.07767178198537e-16,7.07767178198537e-16,7.07767178198537e-16,0,0,"RQR",4,"wide"
"root1",3000,5.81935803867317,1,1.59587544618699e-05,1.30997805478709e-15,1.4122036873232e-13,1.4122036873232e-13,0,2.42673449191173e-14,2.42673449191173e-14,1.08940634291343e-15,1.08940634291343e-15,1.08940634291343e-15,1.08940634291343e-15,0,0,"RQR",5,"slope_stress"
"root2",3000,2.34243729818808,1,1.47135385003526e-06,1.31901165146567e-14,5.77315972805081e-14,5.77315972805081e-14,0,2.46459520283273e-14,2.46459520283273e-14,1.49880108324396e-14,1.49880108324396e-14,1.49880108324396e-14,1.49880108324396e-14,0,0,"RQR",5,"slope_stress"
"root1",3000,2.97636569847893,1,1.5562704303484e-06,5.24218673127229e-14,7.85149723014911e-13,7.85149723014911e-13,0,2.63794776097629e-13,2.63794776097629e-13,8.44879721739744e-14,8.44879721739744e-14,8.44879721739744e-14,8.44879721739744e-14,0,0,"ET",1,"default"
