"root","draw","dense_mean_scale","dense_marginal_covariance_scale","dense_precision_reciprocal_condition","dense_maximum_absolute_normalized_residual","max_R_dense_mean_absolute_error","max_cpp_dense_mean_absolute_error","max_R_cpp_mean_absolute_error","max_R_dense_mean_relative_error","max_cpp_dense_mean_relative_error","max_R_dense_marginal_covariance_absolute_error","max_cpp_dense_marginal_covariance_absolute_error","max_R_dense_marginal_covariance_relative_error","max_cpp_dense_marginal_covariance_relative_error","R_repair_count","cpp_repair_count","target","chain","profile"
"root2",3000,5.63716619979829,1,9.19787258911859e-06,9.56936960261699e-16,2.48689957516035e-14,2.48689957516035e-14,0,4.41161301089426e-15,4.41161301089426e-15,4.92661467177413e-16,4.92661467177413e-16,4.92661467177413e-16,4.92661467177413e-16,0,0,"ET",1,"default"
"root1",3000,2.38665714469534,1,1.89087748271075e-06,6.98029772982463e-14,1.32338584535319e-13,1.32338584535319e-13,0,5.54493488222464e-14,5.54493488222464e-14,1.08524300657109e-14,1.08524300657109e-14,1.08524300657109e-14,1.08524300657109e-14,0,0,"ET",2,"oracle_centered"
"root2",3000,5.42278089895089,1,7.72590412860669e-06,1.59940390088079e-15,2.75335310107039e-14,2.75335310107039e-14,0,5.0773821630947e-15,5.0773821630947e-15,1.60982338570648e-15,1.60982338570648e-15,1.60982338570648e-15,1.60982338570648e-15,0,0,"ET",2,"oracle_centered"
"root1",3000,5.53425616953474,1,3.44535850033662e-06,3.06569992817997e-14,2.66897615119888e-13,2.66897615119888e-13,0,4.82264656611162e-14,4.82264656611162e-14,4.59354776438659e-15,4.59354776438659e-15,4.59354776438659e-15,4.59354776438659e-15,0,0,"ET",3,"narrow"
"root2",3000,2.91195460852146,1,3.99760698189239e-06,3.10484866460297e-15,9.72555369571637e-14,9.72555369571637e-14,0,3.33987132466138e-14,3.33987132466138e-14,4.81559236931162e-15,4.81559236931162e-15,4.81559236931162e-15,4.81559236931162e-15,0,0,"ET",3,"narrow"
"root1",3000,3.2808867653126,1,4.12926301115219e-06,9.82797186452155e-14,1.81632486828676e-13,1.81632486828676e-13,0,5.5360791097394e-14,5.5360791097394e-14,6.02295990859147e-15,6.02295990859147e-15,6.02295990859147e-15,6.02295990859147e-15,0,0,"ET",4,"wide"
"root2",3000,5.88514817453769,1,3.89455929073321e-06,1.39130165696404e-13,3.68594044175552e-13,3.68594044175552e-13,0,6.26312257982369e-14,6.26312257982369e-14,3.64291929955129e-15,3.64291929955129e-15,3.64291929955129e-15,3.64291929955129e-15,0,0,"ET",4,"wide"
"root1",3000,2.79106369475765,1,2.00683011097622e-06,3.20421938383265e-14,1.60760293965723e-13,1.60760293965723e-13,0,5.75982175783636e-14,5.75982175783636e-14,1.04083408558608e-14,1.04083408558608e-14,1.04083408558608e-14,1.04083408558608e-14,0,0,"ET",5,"slope_stress"
"root2",3000,6.81838566043806,1,3.70674758479653e-06,5.88440987671368e-14,7.92699239582362e-14,7.92699239582362e-14,0,1.16259079356833e-14,1.16259079356833e-14,3.60822483003176e-15,3.60822483003176e-15,3.60822483003176e-15,3.60822483003176e-15,0,0,"ET",5,"slope_stress"
"root1",3000,7.04834754725188,1,4.3737278012848e-06,4.34753170166786e-14,2.05169214950729e-13,2.05169214950729e-13,0,2.9108839139285e-14,2.9108839139285e-14,6.30051566474776e-15,6.30051566474776e-15,6.30051566474776e-15,6.30051566474776e-15,0,0,"SH",1,"default"
"root2",3000,2.80968901523174,1,2.09505551021508e-06,7.0001317558439e-14,1.92734717074927e-13,1.92734717074927e-13,0,6.85964589070475e-14,6.85964589070475e-14,2.69784194983913e-14,2.69784194983913e-14,2.69784194983913e-14,2.69784194983913e-14,0,0,"SH",1,"default"
"root1",3000,6.88465638428749,1,3.24355646424001e-06,6.0845324379478e-14,7.44293515708705e-13,7.44293515708705e-13,0,1.08109028855437e-13,1.08109028855437e-13,1.49047441055927e-14,1.49047441055927e-14,1.49047441055927e-14,1.49047441055927e-14,0,0,"SH",2,"oracle_centered"
"root2",3000,3.3906303258123,1,5.75846593625468e-06,2.85269033120875e-14,1.3944401189292e-13,1.3944401189292e-13,0,4.11262799224545e-14,4.11262799224545e-14,2.692290834716e-15,2.692290834716e-15,2.692290834716e-15,2.692290834716e-15,0,0,"SH",2,"oracle_centered"
"root1",3000,3.1049151003771,1,3.67068788493776e-06,6.92010640028068e-16,1.4521717162097e-13,1.4521717162097e-13,0,4.67700941656452e-14,4.67700941656452e-14,1.99840144432528e-15,1.99840144432528e-15,1.99840144432528e-15,1.99840144432528e-15,0,0,"SH",3,"narrow"
"root2",3000,8.20030633442769,1,1.73781828980672e-06,2.78618072317432e-13,1.76747505520325e-13,1.76747505520325e-13,0,2.15537686413346e-14,2.15537686413346e-14,6.60582699651968e-15,6.60582699651968e-15,6.60582699651968e-15,6.60582699651968e-15,0,0,"SH",3,"narrow"
"root1",3000,6.8350357749421,1,2.4039563408947e-06,5.21662941101465e-13,8.00248756149813e-13,8.00248756149813e-13,0,1.17080404916621e-13,1.17080404916621e-13,1.66533453693773e-14,1.66533453693773e-14,1.66533453693773e-14,1.66533453693773e-14,0,0,"SH",4,"wide"
"root2",3000,3.027726900599,1,2.75168670073427e-06,4.18329656008015e-14,9.17044218340379e-14,9.17044218340379e-14,0,3.02882079014112e-14,3.02882079014112e-14,4.6074255521944e-15,4.6074255521944e-15,4.6074255521944e-15,4.6074255521944e-15,0,0,"SH",4,"wide"
"root1",3000,2.57236428802194,1,3.91853508960739e-06,7.54375198053045e-14,1.4166445794217e-13,1.4166445794217e-13,0,5.5071693617355e-14,5.5071693617355e-14,5.48172618408671e-15,5.48172618408671e-15,5.48172618408671e-15,5.48172618408671e-15,0,0,"SH",5,"slope_stress"
"root2",3000,6.59682760958155,1,3.52204409028899e-06,1.96119365633571e-14,3.5527136788005e-13,3.5527136788005e-13,0,5.3854881301436e-14,5.3854881301436e-14,6.80011602582908e-15,6.80011602582908e-15,6.80011602582908e-15,6.80011602582908e-15,0,0,"SH",5,"slope_stress"
