"family","seed","n_index","n_observed","missing_indices","initial_level_variance","initial_slope_variance","dgp_digest","target_digest"
"fixed_design",202607281,540,540,"",,,"68bd58b44db959a3c0243d766393816aa7776c67752edc86bb0088df8caa8376","2bec1f6aa55e3b87c5afb3530f56830292b077d5596d4d7b667c24a5baf8bbe0"
"dlm",202607282,100,97,"35;36;70",4,0.001,"56b47f85881884d611f1060a3cb1dc2e00ac8c22bbd465e35bf3fa4e4ec411f7","a30e7245a528e7862e1958ff2b637e67f5b4aca46601c878c5d035de34ddbebe"
