"family","target","chain","seed","n_draws","numerical_repair_count","elapsed_seconds","root_swap_fraction","profile","exact_joint_target","target_numerical_eligible","reproducibility_eligible","promotion_eligible","primary_runtime_source_match"
"fixed_design","RQR",1,202607381,6000,0,29.547,0.504,"seed_only",TRUE,TRUE,TRUE,TRUE,TRUE
"fixed_design","RQR",2,202617381,6000,0,30.899,0.507571428571429,"seed_only",TRUE,TRUE,TRUE,TRUE,TRUE
"fixed_design","RQR",3,202627381,6000,0,29.767,0.495571428571429,"seed_only",TRUE,TRUE,TRUE,TRUE,TRUE
"fixed_design","RQR",4,202637381,6000,0,30.461,0.497142857142857,"seed_only",TRUE,TRUE,TRUE,TRUE,TRUE
"fixed_design","ET",1,202607481,6000,0,29.601,0.501714285714286,"seed_only",TRUE,TRUE,TRUE,TRUE,TRUE
"fixed_design","ET",2,202617481,6000,0,30.47,0.508,"seed_only",TRUE,TRUE,TRUE,TRUE,TRUE
"fixed_design","ET",3,202627481,6000,0,29.478,0.492571428571429,"seed_only",TRUE,TRUE,TRUE,TRUE,TRUE
"fixed_design","ET",4,202637481,6000,0,30.346,0.492285714285714,"seed_only",TRUE,TRUE,TRUE,TRUE,TRUE
"fixed_design","SH",1,202607581,6000,0,29.889,0.495142857142857,"seed_only",TRUE,TRUE,TRUE,TRUE,TRUE
"fixed_design","SH",2,202617581,6000,0,30.724,0.499285714285714,"seed_only",TRUE,TRUE,TRUE,TRUE,TRUE
"fixed_design","SH",3,202627581,6000,0,32.339,0.500714285714286,"seed_only",TRUE,TRUE,TRUE,TRUE,TRUE
"fixed_design","SH",4,202637581,6000,0,30.563,0.501142857142857,"seed_only",TRUE,TRUE,TRUE,TRUE,TRUE
"dlm","RQR",1,202607382,6000,0,165.765,0.500375,"default",TRUE,TRUE,TRUE,TRUE,TRUE
"dlm","RQR",2,202617382,6000,0,174.518,0.49825,"oracle_centered",TRUE,TRUE,TRUE,TRUE,TRUE
"dlm","RQR",3,202627382,6000,0,167.393,0.50525,"narrow",TRUE,TRUE,TRUE,TRUE,TRUE
"dlm","RQR",4,202637382,6000,0,187.138,0.500625,"wide",TRUE,TRUE,TRUE,TRUE,TRUE
"dlm","RQR",5,202647382,6000,0,171.189,0.49225,"slope_stress",TRUE,TRUE,TRUE,TRUE,TRUE
"dlm","ET",1,202607482,6000,0,183.542,0.499625,"default",TRUE,TRUE,TRUE,TRUE,TRUE
"dlm","ET",2,202617482,6000,0,164.993,0.493875,"oracle_centered",TRUE,TRUE,TRUE,TRUE,TRUE
"dlm","ET",3,202627482,6000,0,179.755,0.4965,"narrow",TRUE,TRUE,TRUE,TRUE,TRUE
"dlm","ET",4,202637482,6000,0,170.738,0.503,"wide",TRUE,TRUE,TRUE,TRUE,TRUE
"dlm","ET",5,202647482,6000,0,169.623,0.50875,"slope_stress",TRUE,TRUE,TRUE,TRUE,TRUE
"dlm","SH",1,202607582,6000,0,185.45,0.493,"default",TRUE,TRUE,TRUE,TRUE,TRUE
"dlm","SH",2,202617582,6000,0,167.446,0.502875,"oracle_centered",TRUE,TRUE,TRUE,TRUE,TRUE
"dlm","SH",3,202627582,6000,0,172.277,0.506625,"narrow",TRUE,TRUE,TRUE,TRUE,TRUE
"dlm","SH",4,202637582,6000,0,172.723,0.49825,"wide",TRUE,TRUE,TRUE,TRUE,TRUE
"dlm","SH",5,202647582,6000,0,166.344,0.508375,"slope_stress",TRUE,TRUE,TRUE,TRUE,TRUE
