"family","target","endpoint","mean_error","median_error","q025_error","q25_error","q75_error","q975_error","rmse","mean_abs_error"
"fixed_design","RQR","lower",-0.662492500223967,-0.379430550761523,-3.13867695724288,-1.28195108348162,0.139939142591706,0.678577220721896,1.23138736278429,0.876409047259926
"fixed_design","RQR","upper",0.0120366410558184,0.00726286756811549,-0.0592598596744319,-0.0150506958399271,0.0330301309419964,0.112276143055657,0.0450269497183526,0.0321602339175674
"fixed_design","ET","lower",-0.403233569884185,-0.260633705130321,-1.89638359034217,-0.699662536539313,0.0264489099856733,0.364476247324491,0.718393985322208,0.500717594409589
"fixed_design","ET","upper",0.0339285294476085,0.0197840516544955,-0.0694389778337461,-0.0125877170451256,0.0648642933236456,0.215719993207339,0.0811138968989665,0.0545970379589239
"fixed_design","SH","lower",-0.305695988877716,-0.193807226974267,-1.39933835805028,-0.536645205342516,0.0109792033395029,0.286544652801605,0.535152571333962,0.37724559177316
"fixed_design","SH","upper",0.217512671868572,0.149683858834355,-0.0797950974720973,0.0363218385494675,0.327028457650418,0.882557914790571,0.337874338642696,0.232219376271667
"dlm","RQR","lower",-0.358694612015999,-0.283935942937188,-2.01770313559862,-0.747358059005161,0.11598454441349,0.867889671471443,0.807320261670186,0.598346740255388
"dlm","RQR","upper",0.243613306863112,0.184475596990858,-0.235221471329447,0.00904955744568555,0.425960196428928,1.01236545240805,0.406976048348398,0.297834721097539
"dlm","ET","lower",-0.341880948494842,-0.315516946196478,-1.52386731030295,-0.717109554838826,0.0707084898114592,0.659226307484622,0.665939204320092,0.523466220600247
"dlm","ET","upper",0.378038871610977,0.306760532027454,-0.226383454008269,0.0734032056308542,0.61290509259833,1.35443741044971,0.562107580607086,0.420369415745023
"dlm","SH","lower",-0.318559117687653,-0.263436634993047,-1.40369601752058,-0.637448321943198,0.052571384634361,0.4860304660784,0.59210891868605,0.454095206385006
"dlm","SH","upper",1.15994749947817,0.926136063832017,-0.163760534705155,0.413305635338589,1.62745859959594,3.91506872546852,1.57804269102301,1.18122143392432
