"response_sd","pathology_oracle_mean_width","maximum_endpoint_over_response_sd","median_maximum_width_over_oracle_width","maximum_width_over_oracle_width","remote_draw_fraction","width_ratio_threshold","endpoint_sd_threshold","minimum_negative_log_target","median_negative_log_target","target","chain","profile"
1.77415632498032,2.59675849220603,4.90808957817399,1.54688924831009,3.31301329624454,0,20,20,162.603181464203,211.534533201391,"RQR",1,"default"
1.77415632498032,2.59675849220603,4.90382254062721,1.54993949674602,4.53505282266486,0,20,20,162.206753041433,211.519444224057,"RQR",2,"oracle_centered"
1.77415632498032,2.59675849220603,4.82553038187088,1.54281291779259,3.2889258655188,0,20,20,159.263048371584,211.15398100983,"RQR",3,"narrow"
1.77415632498032,2.59675849220603,5.18126874483539,1.54180496797629,3.47863747866574,0,20,20,163.997766038089,211.337636337282,"RQR",4,"wide"
1.77415632498032,2.59675849220603,5.5764630932735,1.55553233501334,3.63044031498588,0,20,20,155.562342250589,211.371370609696,"RQR",5,"slope_stress"
1.77415632498032,2.01485611970004,5.37221274656526,1.82239865346465,3.79075230445862,0,20,20,171.037918917892,216.076709187813,"ET",1,"default"
1.77415632498032,2.01485611970004,5.68112081209957,1.83184549207728,3.84922906302864,0,20,20,164.900459042692,215.779336238721,"ET",2,"oracle_centered"
1.77415632498032,2.01485611970004,5.29833213637739,1.84214124812026,3.55170581982699,0,20,20,166.433859875846,215.772934925862,"ET",3,"narrow"
1.77415632498032,2.01485611970004,5.39298019361906,1.83613828753422,3.55960790360983,0,20,20,166.14819693176,215.575052307212,"ET",4,"wide"
1.77415632498032,2.01485611970004,5.6776261552707,1.83010932500985,3.79713308312887,0,20,20,168.936961630045,215.989869849041,"ET",5,"slope_stress"
1.77415632498032,1.66421080964397,9.10151856865841,2.62411947034334,8.2565407992677,0,20,20,169.117592566731,218.689388035272,"SH",1,"default"
1.77415632498032,1.66421080964397,9.73705570251419,2.71066636879755,8.7505785756681,0,20,20,170.248962374303,218.542887080717,"SH",2,"oracle_centered"
1.77415632498032,1.66421080964397,8.25006012021689,2.53753460513259,7.18824932354951,0,20,20,174.791930838661,218.402437754868,"SH",3,"narrow"
1.77415632498032,1.66421080964397,9.34304204771052,2.49697326265998,8.4101203586106,0,20,20,170.395031275169,218.43602953916,"SH",4,"wide"
1.77415632498032,1.66421080964397,11.1089540621208,2.60779031638093,10.1723339517333,0,20,20,164.171561433052,218.74634113408,"SH",5,"slope_stress"
