"target","chain","profile","n_draws","median_target_loss","median_prior_quadratic","median_negative_log_target","median_maximum_width","q975_maximum_width","maximum_absolute_root_ordinate","root_swap_fraction"
"RQR",1,"default",6000,10.0878452100987,402.167263822473,211.534533201391,4.01689779205143,5.848263136209,8.70771816868737,0.4985
"RQR",2,"oracle_centered",6000,10.1111262437293,402.366418103053,211.519444224057,4.02481855058078,6.08553069029898,8.70014777703482,0.495166666666667
"RQR",3,"narrow",6000,10.2042488853816,401.420961916209,211.15398100983,4.00631254616309,5.99305834215284,8.5612452483809,0.501
"RQR",4,"wide",6000,10.1122478632774,402.010356672416,211.337636337282,4.00369514391787,6.09963987009728,9.19238071507254,0.500666666666667
"RQR",5,"slope_stress",6000,10.2775299074418,401.733022564151,211.371370609696,4.03934180084698,6.23775293327734,9.89351726795049,0.492333333333333
"ET",1,"default",6000,13.8533055325977,403.697441488331,216.076709187813,3.67187107946636,5.22465815347744,9.53114522345863,0.497
"ET",2,"oracle_centered",6000,13.9178900768669,403.346897064179,215.779336238721,3.69090510005683,5.33569996992601,10.0791964217638,0.491666666666667
"ET",3,"narrow",6000,14.080975665087,403.044424442228,215.772934925862,3.71164956712698,5.40670054894133,9.40006947160042,0.4945
"ET",4,"wide",6000,13.84832255314,403.033373902182,215.575052307212,3.69955446525386,5.3514059786476,9.56798992100284,0.5075
"ET",5,"slope_stress",6000,14.0036896765512,403.541685266892,215.989869849041,3.6874069732162,5.2981323495775,10.0729963542472,0.506166666666667
"SH",1,"default",6000,15.2126065928386,406.787861805782,218.689388035272,4.3670879883426,9.08958189298073,16.1475167355111,0.492
"SH",2,"oracle_centered",6000,15.3204838272312,406.121537861038,218.542887080717,4.51112027229125,8.60167403356422,17.2750589613012,0.501166666666667
"SH",3,"narrow",6000,15.1804131560365,406.096588362364,218.402437754868,4.22299251970731,8.10549152357959,14.6368963437507,0.51
"SH",4,"wide",6000,15.1951183029281,406.017432174821,218.43602953916,4.15548989511072,9.45934700692431,16.5760171435027,0.500833333333333
"SH",5,"slope_stress",6000,15.0932081789394,406.681590538093,218.74634113408,4.33991283380602,9.18274688081816,19.7090211132274,0.511333333333333
