dgp,coverage,mean,sd,skewness,u_shortest,shortest_boundary,L_shortest,U_shortest,width_shortest,delta_shortest,d_shortest,u_equal_tailed,delta_equal_tailed,d_equal_tailed,d_cf_shortest,d_cf_equal_tailed
"Normal(0,1)",0.9,0.0,1.0,0.0,0.05000000000000004,interior,-1.6448536269514722,1.6448536269514733,3.2897072539029457,2.1497258491060034e-16,2.1497258491060034e-16,0.04999999999999999,-1.4577972948720432e-16,-1.4577972948720432e-16,-0.0,-0.0
"Gamma(shape=16, scale=0.25)",0.9,4.0,1.0,0.5,0.03272963307440509,interior,2.367934441309251,5.587079328416033,3.2191448871067823,-0.09330823103824759,-0.09330823103824759,0.04999999999999999,-0.03123664659522385,-0.03123664659522385,-0.09424612896632907,-0.03141537632210969
"Gamma(shape=4, scale=1)",0.9,4.0,2.0,1.0,0.015381910770122877,interior,0.9372949985775486,6.94611351019176,6.008818511614212,-0.358890686556427,-0.1794453432782135,0.04999999999999999,-0.12265162752662562,-0.06132581376331281,-0.18849225793265814,-0.06283075264421938
"Lognormal(logmean=0, logsd=0.5)",0.9,1.1331484530668263,0.6039005332108811,1.7501896550697178,0.009674157223042691,interior,0.3105607972694857,1.9530174657167458,1.6424566684472601,-0.12976941480633197,-0.21488541186801155,0.04999999999999999,-0.05302778972136246,-0.08780881420888768,-0.32989719989447125,-0.10996573329815708
Exponential(rate=1),0.9,1.0,1.0,2.0,0.0,lower,0.0,2.302585092994046,2.302585092994046,-0.25584278811044947,-0.25584278811044947,0.04999999999999999,-0.11228664889947404,-0.11228664889947404,-0.3769845158653163,-0.12566150528843875
"Beta(2,5)",0.9,0.2857142857142857,0.15971914124998499,0.5962847939999439,0.012576338982523989,interior,0.03015086509468385,0.5252886433987521,0.4951377783040683,-0.027961092045409086,-0.1750641271082574,0.04999999999999999,-0.007020719761963667,-0.043956658588435324,-0.11239506719195935,-0.03746502239731978
"Beta(5,2)",0.9,0.7142857142857143,0.15971914124998499,-0.5962847939999439,0.08742366150557739,interior,0.47471135721116703,0.9698491355152353,0.4951377783040683,0.027961092313939395,0.17506412878952304,0.04999999999999999,0.007020719761963723,0.04395665858843567,0.11239506719195935,0.03746502239731978
