"reference_schema","comparison_type","estimand","threshold","reference_value","reference_method","quadrature_order","previous_order","order_convergence_difference","generator","generator_sha256"
"rqrgibbs_intercept_cdf_reference/2.0.0","cdf","lambda",1,0.347247584303805,"conditional Gamma CDF integrated over response-kink-split root probability cells",80,64,1.11022302462516e-16,"application/scripts/07_generate_intercept_cdf_references.R","f27a07c0747abe43451ec59d286f6b5c4c4e4a91207a1dced6d4140af8de0fba"
"rqrgibbs_intercept_cdf_reference/2.0.0","cdf","lower_root",-1.5,0.408193003274045,"root probability axes split at responses and Phi(-1.5/5)",80,64,3.33066907387547e-16,"application/scripts/07_generate_intercept_cdf_references.R","f27a07c0747abe43451ec59d286f6b5c4c4e4a91207a1dced6d4140af8de0fba"
"rqrgibbs_intercept_cdf_reference/2.0.0","cdf","upper_root",2.5,0.562140568140968,"root probability axes split at responses and Phi(2.5/5)",80,64,7.7715611723761e-16,"application/scripts/07_generate_intercept_cdf_references.R","f27a07c0747abe43451ec59d286f6b5c4c4e4a91207a1dced6d4140af8de0fba"
"rqrgibbs_intercept_cdf_reference/2.0.0","cdf","width",4,0.573003849468578,"nested Gauss-Legendre with exact |root1-root2|<=4 limits and response-kink splits",80,64,6.66133814775094e-16,"application/scripts/07_generate_intercept_cdf_references.R","f27a07c0747abe43451ec59d286f6b5c4c4e4a91207a1dced6d4140af8de0fba"
"rqrgibbs_intercept_cdf_reference/2.0.0","cdf","midpoint",0.5,0.489059519337561,"nested Gauss-Legendre with exact root1+root2<=1 limit and response-kink splits",80,64,3.88578058618805e-16,"application/scripts/07_generate_intercept_cdf_references.R","f27a07c0747abe43451ec59d286f6b5c4c4e4a91207a1dced6d4140af8de0fba"
